complaint_text,category,source
Loose Rubbish is creating an unsanitary condition in the residential area. Please take the necessary action.,garbage,v2_original
Please address missed collection near our house. Residents are requesting assistance.,garbage,v2_original
There appears to be slow leak outside our building.,water_supply,v2_original
This environmental problem involves asbestos complaint outside our building.,environment,v2_original
Drivers are facing problems because of broken curb near the hospital. Please resolve this problem as soon as possible.,roads,v2_original
We need assistance with sewage odor near the school. Please arrange an inspection.,drainage,v2_original
There is a public complaint because loose stones are covering part of the road close to the town centre. the damage is creating a risk for road users. Residents are requesting assistance.,roads,v3_natural_augmentation
Please inspect the environmental issue involving large number of mosquitoes along the roadside. Please resolve this problem as soon as possible.,environment,v2_original
Residents have complained about improper disposal close to the bus stop. Please take the necessary action.,garbage,v2_original
Please arrange cleaning because of missed recycling paper in the residential area.,garbage,v2_original
Drivers are facing problems because of curb defect-metal protruding on the main road. This is causing inconvenience to the public.,roads,v2_original
Residents have reported street light out in our neighbourhood. This is causing inconvenience to the public.,electricity,v2_original
the asphalt surface is breaking apart near the school. Please resolve this issue as soon as possible.,roads,v3_natural_augmentation
Garbage collection is affected by receptacle violation on the main road. Residents are requesting assistance.,garbage,v2_original
There is catch basin clogged/flooding on the main road. Please send the responsible team to inspect the area.,drainage,v2_original
"along the main road, rotting garbage has accumulated. the garbage is spreading onto the surrounding area. Please send the appropriate team to inspect this problem.",garbage,v3_natural_augmentation
There is a waste management problem involving bulk-missed collection outside our building. Please resolve this problem as soon as possible.,garbage,v2_original
Garbage collection is affected by dirty area/alleyway outside our building. Please send the responsible team to inspect the area.,garbage,v2_original
Please investigate the water problem caused by hydrant leaking in the residential area. We would appreciate assistance with this problem.,water_supply,v2_original
The electrical system needs attention because of power outage along the roadside. We would appreciate assistance with this problem.,electricity,v2_original
Residents report that large amounts of dust are affecting the surrounding area in our neighbourhood.,environment,v3_natural_augmentation
there is a large pothole close to the local clinic. the road is difficult to use safely at night.,roads,v3_natural_augmentation
There is a public complaint because an exposed electrical cable is close to the public walkway at the village entrance. the outage is disrupting normal daily activities. Please send the appropriate team to inspect this problem.,electricity,v3_natural_augmentation
There is a public complaint because the drain is filled with mud and debris near the playground. dirty water is collecting around nearby houses. Please investigate this problem.,drainage,v3_natural_augmentation
This environmental problem involves asbestos complaint in our neighbourhood. The problem has been continuing for some time.,environment,v2_original
Residents have reported that uncollected garbage is piling up near the public market. flies and stray animals are gathering around the waste. Residents would like this problem resolved.,garbage,v3_natural_augmentation
There is lamppost wire exposed close to the bus stop.,electricity,v2_original
"Vehicles are being affected by rough, pitted or cracked roads close to the town centre. Please investigate this issue.",roads,v2_original
People living nearby have noticed that several houses are not receiving water beside the public walkway. residents cannot complete their daily household work. Residents would like this problem resolved.,water_supply,v3_natural_augmentation
Please resolve the drainage issue involving street flooding near the junction. Please investigate this issue.,drainage,v2_original
There is pothole - highway near the hospital. Please arrange an inspection.,roads,v2_original
Pothole is causing difficulties for vehicles close to the town centre.,roads,v2_original
"near our houses, an electrical wire is hanging dangerously low.",electricity,v3_natural_augmentation
The electricity service has a problem with wiring on the main road. Please send the responsible team to inspect the area.,electricity,v2_original
The community would like to report that a nearby activity is causing severe air pollution near the hospital. children and elderly residents are being exposed. Please investigate this problem.,environment,v3_natural_augmentation
"Taste/Odor, Bitter/Metallic is affecting the local water supply close to the bus stop.",water_supply,v2_original
"near the railway station, several houses are not receiving water. the problem is affecting several nearby homes. Residents would like this problem resolved.",water_supply,v3_natural_augmentation
Vehicles are being affected by cave-in along the roadside. Please investigate this issue.,roads,v2_original
There is missed recycling-all materials close to the town centre. This is causing inconvenience to the public.,garbage,v2_original
The area needs cleaning because of street cond/dump-out/drop-off near our house. Residents are requesting assistance.,garbage,v2_original
Please investigate chemical vapors/gases/odors outside our building.,environment,v2_original
Street Light Out is affecting the area in our neighbourhood. The problem has been continuing for some time.,electricity,v2_original
There is dirty area/alleyway close to the bus stop.,garbage,v2_original
Residents are concerned about air: other air problem near the hospital. Please arrange an inspection.,environment,v2_original
Please investigate the water problem caused by leak near the junction.,water_supply,v2_original
People in the area are experiencing damp spot near the hospital.,water_supply,v2_original
Waste has become a problem due to bulk-missed recy collection in the residential area. Please investigate this issue.,garbage,v2_original
The electricity service has a problem with power outage near our house.,electricity,v2_original
"near our houses, the culvert appears to be blocked.",drainage,v3_natural_augmentation
There is a public complaint because a large amount of rubbish is scattered around outside the hospital. the area has become very dirty and unpleasant. Please arrange an inspection.,garbage,v3_natural_augmentation
People living nearby have noticed that a strong chemical smell is coming from a nearby property outside the hospital. the air is becoming difficult to breathe. Residents are requesting assistance.,environment,v3_natural_augmentation
Failed Street Repair is causing difficulties for vehicles near the school. This is causing inconvenience to the public.,roads,v2_original
People in the area are affected by outlet/switch along the roadside. We would appreciate assistance with this problem.,electricity,v2_original
the supplied water has an unusual taste close to the local clinic.,water_supply,v3_natural_augmentation
"Residents have reported taste/odor, bitter/metallic near the public market.",water_supply,v2_original
We would like to report that the supplied water has an unusual taste outside the school.,water_supply,v3_natural_augmentation
Residents have reported that the road surface has deteriorated near our houses. the damage is creating a risk for road users. Residents are requesting assistance.,roads,v3_natural_augmentation
The electrical system needs attention because of wiring near the hospital.,electricity,v2_original
"People nearby have complained about air: dust, other in our neighbourhood.",environment,v2_original
the street has several deep cracks at the village entrance.,roads,v3_natural_augmentation
The electricity service has a problem with electrical wiring defective/exposed near the junction.,electricity,v2_original
"There is rough, pitted or cracked roads close to the bus stop. The problem has been continuing for some time.",roads,v2_original
We need assistance with ponding close to the town centre.,drainage,v2_original
Please inspect the electrical issue involving street light lamp dim near the public market. Residents are requesting assistance.,electricity,v2_original
The electricity service has a problem with electrical wiring defective/exposed in our neighbourhood. This is causing inconvenience to the public.,electricity,v2_original
The community would like to report that there is a major leak in the water line near our houses. the problem is affecting several nearby homes. The responsible department should inspect the area.,water_supply,v3_natural_augmentation
The drainage system is affected by sewer backup near the school. Please arrange an inspection.,drainage,v2_original
an electrical box has been left open outside the hospital. residents are worried about electrical safety. We would appreciate prompt assistance.,electricity,v3_natural_augmentation
We would like to report that several bags of garbage are lying in the open along the main road.,garbage,v3_natural_augmentation
People living nearby have noticed that household waste has been dumped illegally outside the hospital. a strong bad smell is spreading nearby.,garbage,v3_natural_augmentation
"Vehicles are being affected by rough, pitted or cracked roads on the main road.",roads,v2_original
a live electrical cable appears to be exposed near the railway station. the area becomes completely dark at night. The responsible department should inspect the area.,electricity,v3_natural_augmentation
"Please inspect the environmental issue involving air: odor/fumes, vehicle idling close to the bus stop. The problem has been continuing for some time.",environment,v2_original
Residents report that sparks are coming from an electrical connection near the junction.,electricity,v3_natural_augmentation
Please arrange cleaning because of dirty area/alleyway in our neighbourhood.,garbage,v2_original
Please inspect the environmental issue involving ventilation near the junction.,environment,v2_original
People living nearby have noticed that the road surface has deteriorated near our houses. traffic is slowing down around the damaged section. We would appreciate prompt assistance.,roads,v3_natural_augmentation
There is a public complaint because people are dumping household waste in this area close to the local clinic. the waste is creating an unhealthy environment. Please resolve this issue as soon as possible.,garbage,v3_natural_augmentation
Cave-in is causing difficulties for vehicles near the school. Please take the necessary action.,roads,v2_original
Missed Collection is creating an unsanitary condition near the hospital. Please investigate this issue.,garbage,v2_original
Residents report that the drinking water looks cloudy near the hospital.,water_supply,v3_natural_augmentation
The road needs attention because of defective hardware close to the town centre.,roads,v2_original
People living nearby have noticed that wastewater is backing up from the drainage system close to the bus stop. dirty water is collecting around nearby houses. Please send the appropriate team to inspect this problem.,drainage,v3_natural_augmentation
"Please investigate the water problem caused by taste/odor, chlorine close to the town centre. Please resolve this problem as soon as possible.",water_supply,v2_original
The drainage system is affected by street flooding outside our building. Residents are requesting assistance.,drainage,v2_original
Please investigate the water problem caused by damp spot near our house. Please arrange an inspection.,water_supply,v2_original
Residents have reported lamppost knocked down near the hospital. The problem has been continuing for some time.,electricity,v2_original
Residents have reported that the road surface has deteriorated near the playground. residents are concerned about possible accidents. Please send the appropriate team to inspect this problem.,roads,v3_natural_augmentation
Dirty Water is affecting the local water supply near the public market. Please arrange an inspection.,water_supply,v2_original
There is missed recycling - m/g/pl close to the bus stop. Please resolve this problem as soon as possible.,garbage,v2_original
"There is an environmental issue involving oil spill on street, large in our neighbourhood. We would appreciate assistance with this problem.",environment,v2_original
The road needs attention because of curb defect-metal protruding close to the town centre.,roads,v2_original
The area needs cleaning because of loose rubbish near the public market.,garbage,v2_original
Residents are reporting rain garden flooding near the junction. We would appreciate assistance with this problem.,drainage,v2_original
"This environmental problem involves oil spill on street, large near the public market. The problem has been continuing for some time.",environment,v2_original
construction dust is spreading across the neighbourhood near the railway station.,environment,v3_natural_augmentation
Residents have complained about street cond/dump-out/drop-off in the residential area. Please send the responsible team to inspect the area.,garbage,v2_original
Waste has become a problem due to loose rubbish near the public market.,garbage,v2_original
The drain is causing problems because of manhole overflow on the main road. Please resolve this problem as soon as possible.,drainage,v2_original
a nearby activity is causing severe air pollution near the hospital.,environment,v3_natural_augmentation
Wastewater problems have occurred due to sewage odor in the residential area.,drainage,v2_original
Our area is facing leak in our neighbourhood. Please take the necessary action.,water_supply,v2_original
"near the school, the road has developed a large cave-in. vehicles are having difficulty passing safely. Please resolve this issue as soon as possible.",roads,v3_natural_augmentation
loose stones are covering part of the road outside the hospital.,roads,v3_natural_augmentation
We are experiencing a problem where rubbish has not been collected for several days outside the hospital. residents are worried about hygiene problems. Please address this issue.,garbage,v3_natural_augmentation
We would like to report that dirty water is overflowing from the drain near the hospital.,drainage,v3_natural_augmentation
Defective Hardware is causing difficulties for vehicles close to the town centre. The problem has been continuing for some time.,roads,v2_original
There is a public complaint because water service has been interrupted in the residential area. residents cannot complete their daily household work. Please take the necessary action.,water_supply,v3_natural_augmentation
There is a public complaint because large amounts of dust are affecting the surrounding area near the railway station. the smell is affecting residents throughout the area. Residents are requesting assistance.,environment,v3_natural_augmentation
There is no lighting close to the town centre. Residents are requesting assistance.,electricity,v2_original
Residents are requesting action regarding street cond/dump-out/drop-off outside our building. We would appreciate assistance with this problem.,garbage,v2_original
We would like to report that discarded waste is blocking part of the walkway outside our building.,garbage,v3_natural_augmentation
"Cloudy Or Milky, Other is affecting the local water supply outside our building. The problem has been continuing for some time.",water_supply,v2_original
We are experiencing a problem where residents are experiencing repeated power failures in the residential area. the electrical fault needs to be inspected. Residents are requesting assistance.,electricity,v3_natural_augmentation
Garbage collection is affected by missed collection in our neighbourhood. Please send the responsible team to inspect the area.,garbage,v2_original
Residents have reported that heavy smoke is affecting nearby houses close to the bus stop. the pollution is affecting nearby homes. Residents would like this problem resolved.,environment,v3_natural_augmentation
The electricity service has a problem with lighting along the roadside. Please take the necessary action.,electricity,v2_original
"near our houses, a section of the road has sunk. drivers have to suddenly avoid the damaged area.",roads,v3_natural_augmentation
We would like to report that water service has been interrupted beside the public road.,water_supply,v3_natural_augmentation
an electrical wire is hanging dangerously low near the hospital.,electricity,v3_natural_augmentation
We are experiencing an electrical problem involving wiring on the main road.,electricity,v2_original
There is power outage near the school.,electricity,v2_original
NO LIGHTING is affecting the area close to the bus stop. Residents are requesting assistance.,electricity,v2_original
The area is affected by asbestos complaint near the public market. The problem has been continuing for some time.,environment,v2_original
People living nearby have noticed that heavy smoke is affecting nearby houses near the community centre. the problem is affecting the surrounding environment. Please address this issue.,environment,v3_natural_augmentation
Garbage collection is affected by receptacle violation near the school. Please resolve this problem as soon as possible.,garbage,v2_original
Please inspect the electrical issue involving power outage along the roadside. Residents are requesting assistance.,electricity,v2_original
"Residents have reported taste/odor, chlorine along the roadside. The problem has been continuing for some time.",water_supply,v2_original
POWER OUTAGE is affecting the area on the main road. Please send the responsible team to inspect the area.,electricity,v2_original
Please resolve the drainage issue involving manhole overflow on the main road. The problem has been continuing for some time.,drainage,v2_original
There is dirty area/alleyway in the residential area. Residents are requesting assistance.,garbage,v2_original
There is a public complaint because the supplied water has a strange smell at the village entrance. a large amount of clean water is being wasted. Residents are requesting assistance.,water_supply,v3_natural_augmentation
"near the public market, floodwater is building up because the drain is blocked.",drainage,v3_natural_augmentation
We are experiencing a problem where several street lamps are completely dark close to the local clinic. people are concerned that someone could receive an electric shock. We would appreciate prompt assistance.,electricity,v3_natural_augmentation
Wastewater problems have occurred due to sewer or drain near the school.,drainage,v2_original
the public garbage bin is overflowing near the public market. Please investigate this problem.,garbage,v3_natural_augmentation
The road has curb defect-metal protruding in our neighbourhood. Please take the necessary action.,roads,v2_original
"Residents are concerned about air: odor/fumes, vehicle idling on the main road. Please take the necessary action.",environment,v2_original
Please repair broken curb outside our building. This issue needs urgent attention.,roads,v2_original
There appears to be lighting close to the bus stop. Please send the responsible team to inspect the area.,electricity,v2_original
Residents have reported that the drainage outlet is not functioning outside our building. water is entering nearby properties. We would appreciate prompt assistance.,drainage,v3_natural_augmentation
We need assistance with catch basin clogged/flooding near the hospital. Please arrange an inspection.,drainage,v2_original
Residents have reported power outage on the main road. This is causing inconvenience to the public.,electricity,v2_original
Residents are reporting sewer backup near the hospital. This is causing inconvenience to the public.,drainage,v2_original
There appears to be electrical wiring defective/exposed in the residential area. Please take the necessary action.,electricity,v2_original
Residents have complained about loose rubbish near our house. Please arrange an inspection.,garbage,v2_original
The drain is causing problems because of culvert blocked/needs cleaning close to the bus stop.,drainage,v2_original
There is broken curb outside our building. This is causing inconvenience to the public.,roads,v2_original
We are experiencing an electrical problem involving no lighting close to the bus stop.,electricity,v2_original
We need assistance with ponding near the school.,drainage,v2_original
People in the area are experiencing unknown odor/taste in drinking water on the main road. The problem has been continuing for some time.,water_supply,v2_original
"near the junction, a roadside gutter is completely obstructed.",drainage,v3_natural_augmentation
The water service is affected by unknown odor/taste in drinking water close to the town centre. Please take the necessary action.,water_supply,v2_original
Waste has become a problem due to improper disposal on the main road. Please arrange an inspection.,garbage,v2_original
The community would like to report that the neighbourhood has had no running water near the playground. the issue is causing serious inconvenience to households. The responsible department should inspect the area.,water_supply,v3_natural_augmentation
the water pressure is extremely low in the residential area. residents need the water service restored. Residents are requesting assistance.,water_supply,v3_natural_augmentation
Please address street cond/dump-out/drop-off near the public market. This issue needs urgent attention.,garbage,v2_original
Please arrange cleaning because of missed recycling-all materials along the roadside.,garbage,v2_original
LIGHTING is affecting the area near the junction.,electricity,v2_original
"People in the area are experiencing taste/odor, chlorine outside our building. Please take the necessary action.",water_supply,v2_original
The road has pothole - highway near the school.,roads,v2_original
People in the area are experiencing possible water main break outside our building. The problem has been continuing for some time.,water_supply,v2_original
"at the village entrance, there is an abandoned pile of waste.",garbage,v3_natural_augmentation
We would like to report defective hardware near our house.,roads,v2_original
We would like to report that residents are experiencing repeated power failures outside the school.,electricity,v3_natural_augmentation
People living nearby have noticed that vehicles are struggling because of the rough road beside the public walkway. residents are concerned about possible accidents. Please arrange an inspection.,roads,v3_natural_augmentation
There is a waste management problem involving loose rubbish near the school. We would appreciate assistance with this problem.,garbage,v2_original
The community would like to report that a manhole is overflowing outside our building. water is entering nearby properties. The responsible department should inspect the area.,drainage,v3_natural_augmentation
"The area is affected by oil spill on street, small close to the bus stop.",environment,v2_original
We would like to report that an oil spill has contaminated the roadside near the playground.,environment,v3_natural_augmentation
People living nearby have noticed that construction dust is spreading across the neighbourhood near the railway station. residents are concerned about possible health effects. Please address this issue.,environment,v3_natural_augmentation
We need assistance with catch basin clogged/flooding in the residential area. Please resolve this problem as soon as possible.,drainage,v2_original
"We are experiencing cloudy or milky, other outside our building. Residents are requesting assistance.",water_supply,v2_original
"outside our building, a section of the road has sunk. residents are concerned about possible accidents. Please take the necessary action.",roads,v3_natural_augmentation
Please send a technician because of power outage close to the town centre. This issue needs urgent attention.,electricity,v2_original
"The area is affected by air: dust, other on the main road. Please send the responsible team to inspect the area.",environment,v2_original
"Residents are concerned about unsafe chemical, storage close to the town centre.",environment,v2_original
Please inspect the environmental issue involving air: other air problem on the main road. Please take the necessary action.,environment,v2_original
We are experiencing an electrical problem involving power outage along the roadside. Please investigate this issue.,electricity,v2_original
The drainage system is affected by street flooding close to the town centre. Please investigate this issue.,drainage,v2_original
The community would like to report that floodwater is building up because the drain is blocked at the village entrance. residents are worried about repeated flooding. Please resolve this issue as soon as possible.,drainage,v3_natural_augmentation
Sewage Leak is causing drainage problems outside our building. The problem has been continuing for some time.,drainage,v2_original
Residents have complained about loose rubbish in our neighbourhood. Please arrange an inspection.,garbage,v2_original
We would like to report that residents are experiencing repeated power failures outside our building.,electricity,v3_natural_augmentation
People in the area are affected by lighting along the roadside. Please take the necessary action.,electricity,v2_original
Residents have reported possible water main break outside our building. This issue needs urgent attention.,water_supply,v2_original
Residents have complained about missed recycling paper near the school. Please resolve this problem as soon as possible.,garbage,v2_original
Please address street cond/dump-out/drop-off near the junction. This issue needs urgent attention.,garbage,v2_original
People living nearby have noticed that a section of the road has sunk near the railway station. the damage is creating a risk for road users. Please address this issue.,roads,v3_natural_augmentation
there is a strong unpleasant industrial odour in our neighbourhood. people are worried about environmental contamination. Residents would like this problem resolved.,environment,v3_natural_augmentation
"Please investigate air: odor/fumes, restaurant near the hospital. This issue needs urgent attention.",environment,v2_original
"along the main road, residents have noticed unusual smoke. people are worried about environmental contamination. We would appreciate prompt assistance.",environment,v3_natural_augmentation
People in the area are experiencing possible water main break near the public market. Residents are requesting assistance.,water_supply,v2_original
Residents have complained about missed collection near our house. Please arrange an inspection.,garbage,v2_original
Waste has become a problem due to missed collection close to the bus stop. This issue needs urgent attention.,garbage,v2_original
The drainage issue appears to involve ponding close to the bus stop. Please send the responsible team to inspect the area.,drainage,v2_original
The community would like to report that stagnant dirty water is collecting in the drain outside the school. rainwater is spreading across the road. Residents would like this problem resolved.,drainage,v3_natural_augmentation
The area needs cleaning because of missed recycling - m/g/pl near our house. This issue needs urgent attention.,garbage,v2_original
Wastewater problems have occurred due to rain garden flooding outside our building. Please take the necessary action.,drainage,v2_original
There appears to be lamppost knocked down near the school.,electricity,v2_original
Garbage collection is affected by street cond/dump-out/drop-off near our house.,garbage,v2_original
Residents have reported unknown odor/taste in drinking water near the school. Residents are requesting assistance.,water_supply,v2_original
There is a public complaint because the street light is not working beside the public road. the damaged equipment could become dangerous. We would appreciate prompt assistance.,electricity,v3_natural_augmentation
Waste has become a problem due to dirty area/alleyway near the school. This is causing inconvenience to the public.,garbage,v2_original
the drainage system is overflowing during rainfall near our houses. pedestrians cannot use the walkway properly. Residents would like this problem resolved.,drainage,v3_natural_augmentation
Please check the water system because of leak on the main road. Please investigate this issue.,water_supply,v2_original
We would like to report that several street lamps are completely dark in the residential area.,electricity,v3_natural_augmentation
There is a water supply issue involving leak in the residential area. Residents are requesting assistance.,water_supply,v2_original
Residents are concerned about pothole along the roadside.,roads,v2_original
There is a waste management problem involving missed collection near the hospital. This is causing inconvenience to the public.,garbage,v2_original
Residents have reported electrical wiring defective/exposed close to the town centre.,electricity,v2_original
Please arrange cleaning because of dirty area/alleyway along the roadside. This issue needs urgent attention.,garbage,v2_original
Please investigate the water problem caused by slow leak near the public market.,water_supply,v2_original
Please arrange cleaning because of receptacle violation on the main road. Residents are requesting assistance.,garbage,v2_original
People in the area are affected by no lighting outside our building.,electricity,v2_original
"near the railway station, floodwater is building up because the drain is blocked.",drainage,v3_natural_augmentation
There is broken curb close to the bus stop.,roads,v2_original
We need assistance with street flooding near the public market.,drainage,v2_original
Residents have reported that the street lighting has stopped working near the hospital. the area becomes completely dark at night. Residents are requesting assistance.,electricity,v3_natural_augmentation
Chemical Spill/Release is affecting the surrounding environment near the public market. Please take the necessary action.,environment,v2_original
Defective Hardware is causing difficulties for vehicles close to the bus stop. This is causing inconvenience to the public.,roads,v2_original
Please inspect the drain because of catch basin clogged/flooding near the junction.,drainage,v2_original
Our area is facing possible water main break near the junction.,water_supply,v2_original
clean water is leaking continuously from a pipe near the railway station.,water_supply,v3_natural_augmentation
Residents have reported that the drinking water has become discoloured near the junction. the problem is affecting several nearby homes. Residents would like this problem resolved.,water_supply,v3_natural_augmentation
People in the area are affected by power outage near the junction.,electricity,v2_original
Please send a technician because of no lighting near the hospital. Please arrange an inspection.,electricity,v2_original
Residents have reported that a large amount of rubbish is scattered around near the public market. children and pedestrians have to pass close to the rubbish. We would appreciate prompt assistance.,garbage,v3_natural_augmentation
"Please repair rough, pitted or cracked roads outside our building. This issue needs urgent attention.",roads,v2_original
The road surface is damaged due to failed street repair near the junction.,roads,v2_original
There is a public complaint because the street has several deep cracks close to the bus stop. drivers have to suddenly avoid the damaged area. Residents would like this problem resolved.,roads,v3_natural_augmentation
Please address bulk-missed recy collection near the school. Please investigate this issue.,garbage,v2_original
loose stones are covering part of the road near the public market. the damage is creating a risk for road users. Residents are requesting assistance.,roads,v3_natural_augmentation
There appears to be slow leak near the junction. Please investigate this issue.,water_supply,v2_original
Please inspect the environmental issue involving chemical odor near the school. This issue needs urgent attention.,environment,v2_original
a large amount of rubbish is scattered around outside our building.,garbage,v3_natural_augmentation
We would like to report pothole on the main road. Please take the necessary action.,roads,v2_original
Please repair failed street repair close to the town centre.,roads,v2_original
People living nearby have noticed that there is a broken curb beside the road near the junction. drivers have to suddenly avoid the damaged area. We would appreciate prompt assistance.,roads,v3_natural_augmentation
There is a public complaint because wastewater is backing up from the drainage system near the railway station. dirty water is collecting around nearby houses. Please address this issue.,drainage,v3_natural_augmentation
"We have noticed oil spill on street, large close to the bus stop. This is causing inconvenience to the public.",environment,v2_original
Please investigate the water problem caused by no water along the roadside. Please arrange an inspection.,water_supply,v2_original
Residents have complained about missed collection along the roadside.,garbage,v2_original
Residents are concerned about defective hardware near the public market. Please arrange an inspection.,roads,v2_original
Residents report that the water pressure is extremely low near the school.,water_supply,v3_natural_augmentation
We are experiencing a problem where there has been no water supply since this morning outside the school. a large amount of clean water is being wasted. Please resolve this issue as soon as possible.,water_supply,v3_natural_augmentation
There is a public complaint because heavy smoke is affecting nearby houses near the railway station. the smell is affecting residents throughout the area. Please investigate this problem.,environment,v3_natural_augmentation
Please check the water system because of unknown odor/taste in drinking water near the school. Please take the necessary action.,water_supply,v2_original
Please arrange cleaning because of dirty area/alleyway outside our building. Residents are requesting assistance.,garbage,v2_original
There is a public complaint because the roadside drain is completely blocked beside the public road. pedestrians cannot use the walkway properly. Please resolve this issue as soon as possible.,drainage,v3_natural_augmentation
We are experiencing a problem where the road surface is badly damaged in our neighbourhood. the damage is creating a risk for road users.,roads,v3_natural_augmentation
Residents have complained about bulk-missed recy collection near the hospital.,garbage,v2_original
Ponding is causing drainage problems on the main road. Please send the responsible team to inspect the area.,drainage,v2_original
The water service is affected by dirty water near our house. We would appreciate assistance with this problem.,water_supply,v2_original
The road surface is damaged due to curb defect-metal protruding near our house.,roads,v2_original
Please send a technician because of lighting near the junction.,electricity,v2_original
Bulk-Missed Recy Collection is creating an unsanitary condition on the main road.,garbage,v2_original
Dirty Water is affecting the local water supply near the school.,water_supply,v2_original
There is a public complaint because the asphalt surface is breaking apart beside the public road. the road is difficult to use safely at night. Please take the necessary action.,roads,v3_natural_augmentation
People living nearby have noticed that the garbage collection has been missed repeatedly near the playground. the waste is creating an unhealthy environment. The responsible department should inspect the area.,garbage,v3_natural_augmentation
There is culvert blocked/needs cleaning outside our building.,drainage,v2_original
"close to the bus stop, there is a broken curb beside the road. the road is difficult to use safely at night. Please investigate this problem.",roads,v3_natural_augmentation
Residents are reporting ponding on the main road. Please arrange an inspection.,drainage,v2_original
Please inspect the drain because of catch basin clogged/flooding along the roadside.,drainage,v2_original
The electrical system needs attention because of lamppost wire exposed along the roadside.,electricity,v2_original
There is a public complaint because the drainage channel is clogged outside the school. dirty water is collecting around nearby houses. We would appreciate prompt assistance.,drainage,v3_natural_augmentation
There is multiple street lights out near the junction. This is causing inconvenience to the public.,electricity,v2_original
"Please investigate the water problem caused by cloudy or milky, other close to the bus stop. Please investigate this issue.",water_supply,v2_original
The community would like to report that water is collecting because the drainage outlet is blocked near our houses. pedestrians cannot use the walkway properly. Please address this issue.,drainage,v3_natural_augmentation
Residents are reporting sewage odor near the public market. Please investigate this issue.,drainage,v2_original
Residents have reported lighting close to the bus stop. This issue needs urgent attention.,electricity,v2_original
