complaint_text,category,language,source
Please repair cave-in in the residential area.,roads,english,NYC311_seed_controlled_augmentation
"Residents are concerned about oil spill on street, small near the school. This issue needs attention.",environment,english,NYC311_seed_controlled_augmentation
Residents are concerned about ventilation near the public market.,environment,english,NYC311_seed_controlled_augmentation
Drivers are having difficulty because of broken curb along the roadside. This issue needs attention.,roads,english,NYC311_seed_controlled_augmentation
There appears to be: We are experiencing an electrical problem involving lighting in the residential area. Residents are requesting assistance.,electricity,english,NYC311_seed_controlled_augmentation
The drainage problem appears to involve catch basin clogged/flooding on the main road.,drainage,english,NYC311_seed_controlled_augmentation
There appears to be: There is sewer or drain outside our building. Please investigate this issue.,drainage,english,NYC311_seed_controlled_augmentation
"There is: People nearby have complained about air: odor/fumes, vehicle idling along the roadside. This is causing inconvenience to the public.",environment,english,NYC311_seed_controlled_augmentation
The drainage system has catch basin clogged/flooding along the roadside.,drainage,english,NYC311_seed_controlled_augmentation
The road has failed street repair close to the town centre. Please resolve this problem as soon as possible.,roads,english,NYC311_seed_controlled_augmentation
There is failed street repair on the main road. Please send the responsible team to inspect the area.,roads,english,NYC311_seed_controlled_augmentation
There appears to be: Broken Curb on the main road. Please investigate this issue.,roads,english,NYC311_seed_controlled_augmentation
Please inspect the drain because of sewage leak near the school. Please resolve this problem as soon as possible.,drainage,english,NYC311_seed_controlled_augmentation
Please inspect the drain because of manhole overflow in the residential area. Please take the necessary action.,drainage,english,NYC311_seed_controlled_augmentation
There is a water supply problem involving leak near the hospital.,water_supply,english,NYC311_seed_controlled_augmentation
The drainage system has culvert blocked/needs cleaning in our neighbourhood. Please arrange an inspection.,drainage,english,NYC311_seed_controlled_augmentation
We have noticed: Please address 15 street cond/dump-out/drop-off along the roadside. Please take the necessary action.,garbage,english,NYC311_seed_controlled_augmentation
There is improper disposal close to the bus stop.,garbage,english,NYC311_seed_controlled_augmentation
Chemical Vapors/Gases/Odors is affecting the surrounding environment in the residential area.,environment,english,NYC311_seed_controlled_augmentation
Chemical Spill/Release is affecting the surrounding environment close to the town centre. This is causing inconvenience to the public.,environment,english,NYC311_seed_controlled_augmentation
"Please investigate oil spill on street, large along the roadside. This issue needs attention.",environment,english,NYC311_seed_controlled_augmentation
Residents have reported hydrant leaking close to the town centre. Please send the responsible team to inspect the area.,water_supply,english,NYC311_seed_controlled_augmentation
The drainage problem appears to involve manhole overflow on the main road. This is causing inconvenience to the public.,drainage,english,NYC311_seed_controlled_augmentation
Culvert Blocked/Needs Cleaning is affecting the area along the roadside. Please arrange an inspection.,drainage,english,NYC311_seed_controlled_augmentation
The road surface is affected by pothole near our house. Please arrange an inspection.,roads,english,NYC311_seed_controlled_augmentation
Our area has: We are experiencing an electrical problem involving outlet/switch outside our building. Please send the responsible team to inspect the area.,electricity,english,NYC311_seed_controlled_augmentation
The electricity service has a problem with no lighting along the roadside.,electricity,english,NYC311_seed_controlled_augmentation
Wastewater is causing problems due to manhole overflow in our neighbourhood. Please take the necessary action.,drainage,english,NYC311_seed_controlled_augmentation
Our area has: Residents are reporting sewer backup along the roadside.,drainage,english,NYC311_seed_controlled_augmentation
"I am reporting: We have noticed air: odor/fumes, vehicle idling near the school. Residents are requesting assistance.",environment,english,NYC311_seed_controlled_augmentation
There is outlet/switch on the main road. Please resolve this problem as soon as possible.,electricity,english,NYC311_seed_controlled_augmentation
Please check the water system because of leak near the junction.,water_supply,english,NYC311_seed_controlled_augmentation
There is 15 street cond/dump-out/drop-off near the junction. We would appreciate assistance with this issue.,garbage,english,NYC311_seed_controlled_augmentation
Please inspect the electrical issue: street light lamp dim outside our building.,electricity,english,NYC311_seed_controlled_augmentation
There is cave-in near the hospital.,roads,english,NYC311_seed_controlled_augmentation
I am reporting: Residents are concerned about large number of mosquitoes on the main road. Please investigate this issue.,environment,english,NYC311_seed_controlled_augmentation
Garbage-related problems include missed recycling paper near the junction. Please send the responsible team to inspect the area.,garbage,english,NYC311_seed_controlled_augmentation
The electricity service has a problem with lighting on the main road. Please arrange an inspection.,electricity,english,NYC311_seed_controlled_augmentation
People nearby have complained about large number of mosquitoes near the junction. Please take the necessary action.,environment,english,NYC311_seed_controlled_augmentation
"The area is affected by air: smoke, chimney or vent close to the town centre. We would appreciate assistance with this issue.",environment,english,NYC311_seed_controlled_augmentation
"I am reporting: Residents have reported taste/odor, chlorine close to the town centre. Please arrange an inspection.",water_supply,english,NYC311_seed_controlled_augmentation
Please inspect this environmental issue: chemical spill/release in the residential area.,environment,english,NYC311_seed_controlled_augmentation
Missed Recycling Paper is creating an unsanitary condition along the roadside. Please investigate this issue.,garbage,english,NYC311_seed_controlled_augmentation
Residents are reporting ponding close to the bus stop. Please arrange an inspection.,drainage,english,NYC311_seed_controlled_augmentation
"The area is affected by air: odor/fumes, restaurant near the hospital. Please resolve this problem as soon as possible.",environment,english,NYC311_seed_controlled_augmentation
There is: Residents are reporting street flooding near the public market. The problem has been continuing for some time.,drainage,english,NYC311_seed_controlled_augmentation
Residents are reporting catch basin clogged/flooding near the school.,drainage,english,NYC311_seed_controlled_augmentation
Please send a technician because of electrical wiring defective/exposed near the junction.,electricity,english,NYC311_seed_controlled_augmentation
There appears to be street light out outside our building. This is causing inconvenience to the public.,electricity,english,NYC311_seed_controlled_augmentation
Receptacle Violation is creating an unsanitary condition near our house. Please investigate this issue.,garbage,english,NYC311_seed_controlled_augmentation
Please inspect the electrical issue: street light lamp dim near the school. Please arrange an inspection.,electricity,english,NYC311_seed_controlled_augmentation
Please address improper disposal in our neighbourhood.,garbage,english,NYC311_seed_controlled_augmentation
Dirty Area/Alleyway is creating an unsanitary condition near the hospital. Please send the responsible team to inspect the area.,garbage,english,NYC311_seed_controlled_augmentation
Waste has become a problem due to missed recycling - m/g/pl on the main road. Please send the responsible team to inspect the area.,garbage,english,NYC311_seed_controlled_augmentation
Please investigate the water issue: hydrant leaking in our neighbourhood. Please resolve this problem as soon as possible.,water_supply,english,NYC311_seed_controlled_augmentation
The area needs cleaning because of 15 street cond/dump-out/drop-off near our house. Please send the responsible team to inspect the area.,garbage,english,NYC311_seed_controlled_augmentation
Residents have reported: We need assistance with street flooding in the residential area. We would appreciate assistance with this issue.,drainage,english,NYC311_seed_controlled_augmentation
The road surface is affected by wear & tear outside our building.,roads,english,NYC311_seed_controlled_augmentation
There is street light lamp dim in the residential area. Please resolve this problem as soon as possible.,electricity,english,NYC311_seed_controlled_augmentation
Residents are concerned about failed street repair in our neighbourhood.,roads,english,NYC311_seed_controlled_augmentation
Drivers are having difficulty because of broken curb near the junction. Please take the necessary action.,roads,english,NYC311_seed_controlled_augmentation
The area needs cleaning because of receptacle violation in the residential area. Please send the responsible team to inspect the area.,garbage,english,NYC311_seed_controlled_augmentation
Cave-in is causing problems for vehicles in our neighbourhood.,roads,english,NYC311_seed_controlled_augmentation
There is electrical wiring defective/exposed near the public market. This issue needs attention.,electricity,english,NYC311_seed_controlled_augmentation
There has been: Please arrange cleaning because of dirty sidewalk close to the bus stop.,garbage,english,NYC311_seed_controlled_augmentation
The area needs cleaning because of bulk-missed collection in the residential area. We would appreciate assistance with this issue.,garbage,english,NYC311_seed_controlled_augmentation
Sewage Leak is affecting the area near the school. This issue needs attention.,drainage,english,NYC311_seed_controlled_augmentation
Wastewater is causing problems due to sewer or drain near the hospital. Please investigate this issue.,drainage,english,NYC311_seed_controlled_augmentation
Please inspect the electrical issue: electrical wiring defective/exposed on the main road.,electricity,english,NYC311_seed_controlled_augmentation
Air: Other Air Problem is affecting the surrounding environment near the hospital. Please take the necessary action.,environment,english,NYC311_seed_controlled_augmentation
There has been: There is rain garden flooding outside our building.,drainage,english,NYC311_seed_controlled_augmentation
Waste has become a problem due to missed collection along the roadside.,garbage,english,NYC311_seed_controlled_augmentation
Residents have reported leak close to the bus stop. Please take the necessary action.,water_supply,english,NYC311_seed_controlled_augmentation
Please send a technician because of lighting along the roadside. Please resolve this problem as soon as possible.,electricity,english,NYC311_seed_controlled_augmentation
Wastewater is causing problems due to manhole overflow near the hospital. Please arrange an inspection.,drainage,english,NYC311_seed_controlled_augmentation
Please investigate chemical spill/release near our house. This issue needs attention.,environment,english,NYC311_seed_controlled_augmentation
There appears to be: The electricity service has a problem with electrical wiring defective/exposed in the residential area.,electricity,english,NYC311_seed_controlled_augmentation
We need assistance with rain garden flooding near the junction. This issue needs attention.,drainage,english,NYC311_seed_controlled_augmentation
The road has broken curb close to the town centre. Please take the necessary action.,roads,english,NYC311_seed_controlled_augmentation
"People nearby have complained about air: dust, construction/demolition on the main road. This issue needs attention.",environment,english,NYC311_seed_controlled_augmentation
"Residents have reported taste/odor, bitter/metallic outside our building. Please send the responsible team to inspect the area.",water_supply,english,NYC311_seed_controlled_augmentation
The drainage system has sewer or drain near the school.,drainage,english,NYC311_seed_controlled_augmentation
The electricity service has a problem with electrical wiring defective/exposed on the main road. Please take the necessary action.,electricity,english,NYC311_seed_controlled_augmentation
I would like to report: Defective Hardware is causing problems for vehicles outside our building.,roads,english,NYC311_seed_controlled_augmentation
"Please investigate oil spill on street, small near the public market.",environment,english,NYC311_seed_controlled_augmentation
Residents have reported street light out near the junction. Please send the responsible team to inspect the area.,electricity,english,NYC311_seed_controlled_augmentation
Curb Defect-Metal Protruding near the school. Please investigate this issue.,roads,english,NYC311_seed_controlled_augmentation
Please check: There is sewer backup on the main road. We would appreciate assistance with this issue.,drainage,english,NYC311_seed_controlled_augmentation
Electrical Wiring Defective/Exposed is affecting the area close to the bus stop. Please investigate this issue.,electricity,english,NYC311_seed_controlled_augmentation
Dirty Area/Alleyway is creating an unsanitary condition outside our building.,garbage,english,NYC311_seed_controlled_augmentation
The electricity service has a problem with electrical wiring defective/exposed near the school. Please resolve this problem as soon as possible.,electricity,english,NYC311_seed_controlled_augmentation
Wastewater is causing problems due to manhole overflow near the school.,drainage,english,NYC311_seed_controlled_augmentation
"Please investigate unsafe chemical, storage near the junction. Please take the necessary action.",environment,english,NYC311_seed_controlled_augmentation
"We are experiencing cloudy or milky, other in our neighbourhood. This is causing inconvenience to the public.",water_supply,english,NYC311_seed_controlled_augmentation
The road surface is affected by cave-in along the roadside.,roads,english,NYC311_seed_controlled_augmentation
We have noticed: We are experiencing an electrical problem involving outlet/switch along the roadside. Please investigate this issue.,electricity,english,NYC311_seed_controlled_augmentation
The drainage system has rain garden flooding in the residential area. Please send the responsible team to inspect the area.,drainage,english,NYC311_seed_controlled_augmentation
I would like to report: Waste has become a problem due to missed collection near the school. Residents are requesting assistance.,garbage,english,NYC311_seed_controlled_augmentation
Garbage-related problems include improper disposal in our neighbourhood.,garbage,english,NYC311_seed_controlled_augmentation
Please inspect the drain because of catch basin clogged/flooding in the residential area. Residents are requesting assistance.,drainage,english,NYC311_seed_controlled_augmentation
The electricity service has a problem with lighting in the residential area. The problem has been continuing for some time.,electricity,english,NYC311_seed_controlled_augmentation
We need assistance with street flooding near the school.,drainage,english,NYC311_seed_controlled_augmentation
Residents have complained about 15 street cond/dump-out/drop-off near the public market. The problem has been continuing for some time.,garbage,english,NYC311_seed_controlled_augmentation
DAMP SPOT has affected the local water supply outside our building. Residents are requesting assistance.,water_supply,english,NYC311_seed_controlled_augmentation
Drivers are having difficulty because of pothole - highway near the school.,roads,english,NYC311_seed_controlled_augmentation
Wear & Tear is causing problems for vehicles near the hospital. Please resolve this problem as soon as possible.,roads,english,NYC311_seed_controlled_augmentation
We are experiencing damp spot in our neighbourhood. The problem has been continuing for some time.,water_supply,english,NYC311_seed_controlled_augmentation
"People nearby have complained about air: dust, other close to the town centre. Please resolve this problem as soon as possible.",environment,english,NYC311_seed_controlled_augmentation
"Our area is facing taste/odor, bitter/metallic outside our building.",water_supply,english,NYC311_seed_controlled_augmentation
The drainage system has sewage leak near the public market.,drainage,english,NYC311_seed_controlled_augmentation
The road has defective hardware near the school. This is causing inconvenience to the public.,roads,english,NYC311_seed_controlled_augmentation
The road has wear & tear in the residential area. Residents are requesting assistance.,roads,english,NYC311_seed_controlled_augmentation
There is: The area needs cleaning because of 15 street cond/dump-out/drop-off close to the bus stop. Please take the necessary action.,garbage,english,NYC311_seed_controlled_augmentation
"There is a water supply problem involving cloudy or milky, other in the residential area.",water_supply,english,NYC311_seed_controlled_augmentation
"There appears to be: There is an environmental problem involving air: odor/fumes, vehicle idling near the school.",environment,english,NYC311_seed_controlled_augmentation
Waste has become a problem due to 15 street cond/dump-out/drop-off in our neighbourhood.,garbage,english,NYC311_seed_controlled_augmentation
"Please inspect this environmental issue: oil spill on street, small along the roadside.",environment,english,NYC311_seed_controlled_augmentation
There is bulk-missed recy collection in our neighbourhood. Please send the responsible team to inspect the area.,garbage,english,NYC311_seed_controlled_augmentation
Residents have reported lamppost knocked down in the residential area.,electricity,english,NYC311_seed_controlled_augmentation
The electricity service has a problem with multiple street lights out outside our building.,electricity,english,NYC311_seed_controlled_augmentation
The area needs cleaning because of bulk-missed collection outside our building. This issue needs attention.,garbage,english,NYC311_seed_controlled_augmentation
"Air: Smoke, Vehicular is affecting the surrounding environment on the main road. This issue needs attention.",environment,english,NYC311_seed_controlled_augmentation
Possible Water Main Break has affected the local water supply near the public market. Please arrange an inspection.,water_supply,english,NYC311_seed_controlled_augmentation
There is: Large Number of Mosquitoes is affecting the surrounding environment close to the bus stop. This issue needs attention.,environment,english,NYC311_seed_controlled_augmentation
The electricity service has a problem with outlet/switch along the roadside. Please send the responsible team to inspect the area.,electricity,english,NYC311_seed_controlled_augmentation
unknown odor/taste in drinking water has affected the local water supply close to the bus stop. Please resolve this problem as soon as possible.,water_supply,english,NYC311_seed_controlled_augmentation
We are experiencing low water pressure - wlwp along the roadside.,water_supply,english,NYC311_seed_controlled_augmentation
There is cave-in near the school. Please arrange an inspection.,roads,english,NYC311_seed_controlled_augmentation
Our area has: Please inspect the electrical issue: lamppost knocked down near the hospital.,electricity,english,NYC311_seed_controlled_augmentation
"People nearby have complained about air: smoke, vehicular in our neighbourhood.",environment,english,NYC311_seed_controlled_augmentation
There is: Pothole near the public market. Please take the necessary action.,roads,english,NYC311_seed_controlled_augmentation
There is missed recycling - m/g/pl in our neighbourhood. The problem has been continuing for some time.,garbage,english,NYC311_seed_controlled_augmentation
We are experiencing: SLOW LEAK has affected the local water supply close to the town centre. We would appreciate assistance with this issue.,water_supply,english,NYC311_seed_controlled_augmentation
We have noticed asbestos complaint near the public market. The problem has been continuing for some time.,environment,english,NYC311_seed_controlled_augmentation
Please investigate the water issue: unknown odor/taste in drinking water near our house.,water_supply,english,NYC311_seed_controlled_augmentation
We have noticed: Residents are concerned about curb defect-metal protruding near the school. This is causing inconvenience to the public.,roads,english,NYC311_seed_controlled_augmentation
There appears to be outlet/switch near the hospital. We would appreciate assistance with this issue.,electricity,english,NYC311_seed_controlled_augmentation
Please address improper disposal outside our building. Residents are requesting assistance.,garbage,english,NYC311_seed_controlled_augmentation
There appears to be: Wastewater is causing problems due to rain garden flooding near the public market. Please arrange an inspection.,drainage,english,NYC311_seed_controlled_augmentation
The road has cave-in outside our building.,roads,english,NYC311_seed_controlled_augmentation
Please check: Wastewater is causing problems due to sewer backup near the junction. Please investigate this issue.,drainage,english,NYC311_seed_controlled_augmentation
Street Flooding is affecting the area outside our building. This is causing inconvenience to the public.,drainage,english,NYC311_seed_controlled_augmentation
Please investigate ventilation close to the bus stop.,environment,english,NYC311_seed_controlled_augmentation
Please address missed recycling - m/g/pl on the main road. Please send the responsible team to inspect the area.,garbage,english,NYC311_seed_controlled_augmentation
"Please investigate air: dust, construction/demolition along the roadside. Please resolve this problem as soon as possible.",environment,english,NYC311_seed_controlled_augmentation
"We have noticed oil spill on street, small along the roadside.",environment,english,NYC311_seed_controlled_augmentation
Failed Street Repair near our house. Residents are requesting assistance.,roads,english,NYC311_seed_controlled_augmentation
"The road surface is affected by rough, pitted or cracked roads on the main road. This is causing inconvenience to the public.",roads,english,NYC311_seed_controlled_augmentation
There is: Please arrange cleaning because of bulk-missed recy collection near the public market. Please take the necessary action.,garbage,english,NYC311_seed_controlled_augmentation
"There is a water supply problem involving cloudy or milky, other near the school. Residents are requesting assistance.",water_supply,english,NYC311_seed_controlled_augmentation
Sewage Leak is affecting the area along the roadside. Residents are requesting assistance.,drainage,english,NYC311_seed_controlled_augmentation
There appears to be slow leak near the hospital.,water_supply,english,NYC311_seed_controlled_augmentation
Please arrange cleaning because of improper disposal in the residential area. Residents are requesting assistance.,garbage,english,NYC311_seed_controlled_augmentation
"Residents are concerned about air: dust, other near the public market. Please resolve this problem as soon as possible.",environment,english,NYC311_seed_controlled_augmentation
Residents are concerned about air: other air problem near the junction. Please send the responsible team to inspect the area.,environment,english,NYC311_seed_controlled_augmentation
I am reporting: There appears to be multiple street lights out outside our building. This issue needs attention.,electricity,english,NYC311_seed_controlled_augmentation
Improper Disposal is creating an unsanitary condition near the junction.,garbage,english,NYC311_seed_controlled_augmentation
"Residents are concerned about air: dust, construction/demolition on the main road. Please investigate this issue.",environment,english,NYC311_seed_controlled_augmentation
We have noticed: Residents are reporting culvert blocked/needs cleaning along the roadside. This issue needs attention.,drainage,english,NYC311_seed_controlled_augmentation
There is lamppost wire exposed near the school.,electricity,english,NYC311_seed_controlled_augmentation
"Unsafe Chemical, Abandoned is affecting the surrounding environment near the public market. The problem has been continuing for some time.",environment,english,NYC311_seed_controlled_augmentation
Please address missed recycling - m/g/pl in our neighbourhood. Please arrange an inspection.,garbage,english,NYC311_seed_controlled_augmentation
Residents have complained about missed recycling - m/g/pl on the main road. Please investigate this issue.,garbage,english,NYC311_seed_controlled_augmentation
The drainage system has sewer backup near the junction.,drainage,english,NYC311_seed_controlled_augmentation
There is: The road surface is affected by pothole - highway near the hospital. We would appreciate assistance with this issue.,roads,english,NYC311_seed_controlled_augmentation
WIRING is affecting the area on the main road.,electricity,english,NYC311_seed_controlled_augmentation
Garbage-related problems include missed collection near the junction. Please investigate this issue.,garbage,english,NYC311_seed_controlled_augmentation
Please address dirty sidewalk close to the town centre.,garbage,english,NYC311_seed_controlled_augmentation
Our area is facing no water in the residential area.,water_supply,english,NYC311_seed_controlled_augmentation
Drivers are having difficulty because of pothole - highway outside our building. This is causing inconvenience to the public.,roads,english,NYC311_seed_controlled_augmentation
The drainage problem appears to involve catch basin clogged/flooding in the residential area. Residents are requesting assistance.,drainage,english,NYC311_seed_controlled_augmentation
"Residents have reported: Please investigate oil spill on street, large near the hospital.",environment,english,NYC311_seed_controlled_augmentation
RAIN GARDEN FLOODING is affecting the area close to the town centre.,drainage,english,NYC311_seed_controlled_augmentation
Please investigate the water issue: no water on the main road. Please send the responsible team to inspect the area.,water_supply,english,NYC311_seed_controlled_augmentation
Pothole in our neighbourhood.,roads,english,NYC311_seed_controlled_augmentation
Our area has: The drainage system has sewer backup outside our building.,drainage,english,NYC311_seed_controlled_augmentation
"People nearby have complained about oil spill on street, small along the roadside. Please send the responsible team to inspect the area.",environment,english,NYC311_seed_controlled_augmentation
I am reporting: Waste has become a problem due to bulk-missed collection close to the town centre. Please take the necessary action.,garbage,english,NYC311_seed_controlled_augmentation
"Air: Dust, Construction/Demolition is affecting the surrounding environment along the roadside. This issue needs attention.",environment,english,NYC311_seed_controlled_augmentation
The area is affected by large number of mosquitoes near the school. Please resolve this problem as soon as possible.,environment,english,NYC311_seed_controlled_augmentation
Please check the water system because of dirty water outside our building. Please investigate this issue.,water_supply,english,NYC311_seed_controlled_augmentation
Residents have reported: People nearby have complained about asbestos complaint near the hospital.,environment,english,NYC311_seed_controlled_augmentation
Residents have reported lamppost wire exposed close to the bus stop. This issue needs attention.,electricity,english,NYC311_seed_controlled_augmentation
Residents have reported: Please inspect the electrical issue: lamppost knocked down near the junction. Please take the necessary action.,electricity,english,NYC311_seed_controlled_augmentation
There is a water supply problem involving leak close to the bus stop. This is causing inconvenience to the public.,water_supply,english,NYC311_seed_controlled_augmentation
Our area has: We need assistance with sewer backup near the school. The problem has been continuing for some time.,drainage,english,NYC311_seed_controlled_augmentation
Please send a technician because of lamppost wire exposed near the junction.,electricity,english,NYC311_seed_controlled_augmentation
"Residents have reported taste/odor, chlorine on the main road.",water_supply,english,NYC311_seed_controlled_augmentation
Residents are reporting ponding along the roadside. The problem has been continuing for some time.,drainage,english,NYC311_seed_controlled_augmentation
