complaint_text,category,language,source
Please investigate the water problem caused by hydrant leaking near the hospital.,water_supply,english,NYC311_seed_controlled_augmentation_v2
Garbage collection is affected by missed recycling - m/g/pl near our house. Please investigate this issue.,garbage,english,NYC311_seed_controlled_augmentation_v2
There is a waste management problem involving dirty area/alleyway in the residential area.,garbage,english,NYC311_seed_controlled_augmentation_v2
Residents have reported slow leak in the residential area.,water_supply,english,NYC311_seed_controlled_augmentation_v2
There is curb defect-metal protruding near the hospital.,roads,english,NYC311_seed_controlled_augmentation_v2
Please repair curb defect-metal protruding on the main road.,roads,english,NYC311_seed_controlled_augmentation_v2
The electricity service has a problem with lamppost wire exposed on the main road. Please arrange an inspection.,electricity,english,NYC311_seed_controlled_augmentation_v2
People nearby have complained about large number of mosquitoes along the roadside. Please arrange an inspection.,environment,english,NYC311_seed_controlled_augmentation_v2
The drainage system is affected by sewage odor near the junction. Please take the necessary action.,drainage,english,NYC311_seed_controlled_augmentation_v2
Please address bulk-missed recy collection close to the bus stop. Please resolve this problem as soon as possible.,garbage,english,NYC311_seed_controlled_augmentation_v2
"People nearby have complained about oil spill on street, large near our house.",environment,english,NYC311_seed_controlled_augmentation_v2
"Cloudy Or Milky, Other is affecting the local water supply near the junction. This is causing inconvenience to the public.",water_supply,english,NYC311_seed_controlled_augmentation_v2
The area is affected by chemical odor near the hospital. Residents are requesting assistance.,environment,english,NYC311_seed_controlled_augmentation_v2
Please inspect the environmental issue involving ventilation near the hospital. Please resolve this problem as soon as possible.,environment,english,NYC311_seed_controlled_augmentation_v2
The drain is causing problems because of sewage leak near the public market. Please arrange an inspection.,drainage,english,NYC311_seed_controlled_augmentation_v2
We need assistance with sewer or drain near our house. This issue needs urgent attention.,drainage,english,NYC311_seed_controlled_augmentation_v2
There is a waste management problem involving receptacle violation near the hospital. This issue needs urgent attention.,garbage,english,NYC311_seed_controlled_augmentation_v2
Drivers are facing problems because of failed street repair outside our building. The problem has been continuing for some time.,roads,english,NYC311_seed_controlled_augmentation_v2
Garbage collection is affected by bulk-missed recy collection near the school. Please send the responsible team to inspect the area.,garbage,english,NYC311_seed_controlled_augmentation_v2
Residents have reported dirty water close to the bus stop. Please investigate this issue.,water_supply,english,NYC311_seed_controlled_augmentation_v2
There is a waste management problem involving loose rubbish close to the town centre. Residents are requesting assistance.,garbage,english,NYC311_seed_controlled_augmentation_v2
There appears to be lighting near the junction.,electricity,english,NYC311_seed_controlled_augmentation_v2
Residents are reporting culvert blocked/needs cleaning in our neighbourhood.,drainage,english,NYC311_seed_controlled_augmentation_v2
Wastewater problems have occurred due to sewer backup near our house. Please arrange an inspection.,drainage,english,NYC311_seed_controlled_augmentation_v2
The drain is causing problems because of catch basin clogged/flooding in the residential area. This issue needs urgent attention.,drainage,english,NYC311_seed_controlled_augmentation_v2
The drainage system is affected by manhole overflow close to the town centre.,drainage,english,NYC311_seed_controlled_augmentation_v2
Garbage collection is affected by missed recycling - m/g/pl near the school. Please resolve this problem as soon as possible.,garbage,english,NYC311_seed_controlled_augmentation_v2
Waste has become a problem due to missed recycling paper along the roadside.,garbage,english,NYC311_seed_controlled_augmentation_v2
Vehicles are being affected by defective hardware near the hospital. Residents are requesting assistance.,roads,english,NYC311_seed_controlled_augmentation_v2
Waste has become a problem due to receptacle violation along the roadside. The problem has been continuing for some time.,garbage,english,NYC311_seed_controlled_augmentation_v2
Please address loose rubbish on the main road. We would appreciate assistance with this problem.,garbage,english,NYC311_seed_controlled_augmentation_v2
Please inspect the electrical issue involving lamppost wire exposed in our neighbourhood. We would appreciate assistance with this problem.,electricity,english,NYC311_seed_controlled_augmentation_v2
Residents are concerned about failed street repair close to the town centre.,roads,english,NYC311_seed_controlled_augmentation_v2
Vehicles are being affected by pothole - highway in the residential area.,roads,english,NYC311_seed_controlled_augmentation_v2
"There is an environmental issue involving oil spill on street, large outside our building. Please send the responsible team to inspect the area.",environment,english,NYC311_seed_controlled_augmentation_v2
"Residents have reported taste/odor, bitter/metallic close to the town centre.",water_supply,english,NYC311_seed_controlled_augmentation_v2
Drivers are facing problems because of broken curb along the roadside.,roads,english,NYC311_seed_controlled_augmentation_v2
People in the area are affected by multiple street lights out outside our building. This issue needs urgent attention.,electricity,english,NYC311_seed_controlled_augmentation_v2
Dirty Sidewalk is creating an unsanitary condition near the hospital. This is causing inconvenience to the public.,garbage,english,NYC311_seed_controlled_augmentation_v2
Residents have complained about dirty area/alleyway outside our building.,garbage,english,NYC311_seed_controlled_augmentation_v2
The area needs cleaning because of bulk-missed collection outside our building. We would appreciate assistance with this problem.,garbage,english,NYC311_seed_controlled_augmentation_v2
Residents have reported wiring close to the town centre. Please resolve this problem as soon as possible.,electricity,english,NYC311_seed_controlled_augmentation_v2
The drainage system is affected by manhole overflow near the school. Please investigate this issue.,drainage,english,NYC311_seed_controlled_augmentation_v2
Please address dirty area/alleyway in the residential area. Please resolve this problem as soon as possible.,garbage,english,NYC311_seed_controlled_augmentation_v2
There is defective hardware near the school.,roads,english,NYC311_seed_controlled_augmentation_v2
"Please investigate oil spill on street, large near the public market.",environment,english,NYC311_seed_controlled_augmentation_v2
Please investigate chemical spill/release near our house. Please send the responsible team to inspect the area.,environment,english,NYC311_seed_controlled_augmentation_v2
The road needs attention because of cave-in near the public market.,roads,english,NYC311_seed_controlled_augmentation_v2
Residents have reported multiple street lights out near the junction. Residents are requesting assistance.,electricity,english,NYC311_seed_controlled_augmentation_v2
Sewer or Drain is causing drainage problems near the hospital.,drainage,english,NYC311_seed_controlled_augmentation_v2
The drain is causing problems because of culvert blocked/needs cleaning close to the bus stop. We would appreciate assistance with this problem.,drainage,english,NYC311_seed_controlled_augmentation_v2
"The area is affected by oil spill on street, large outside our building.",environment,english,NYC311_seed_controlled_augmentation_v2
The drainage system is affected by sewer backup on the main road. This issue needs urgent attention.,drainage,english,NYC311_seed_controlled_augmentation_v2
Drivers are facing problems because of curb defect-metal protruding on the main road. This is causing inconvenience to the public.,roads,english,NYC311_seed_controlled_augmentation_v2
We would like to report defective hardware on the main road. Please resolve this problem as soon as possible.,roads,english,NYC311_seed_controlled_augmentation_v2
We would like to report pothole near the junction. Please resolve this problem as soon as possible.,roads,english,NYC311_seed_controlled_augmentation_v2
There is sewer backup in our neighbourhood. Please take the necessary action.,drainage,english,NYC311_seed_controlled_augmentation_v2
Residents are reporting culvert blocked/needs cleaning near the hospital. Please send the responsible team to inspect the area.,drainage,english,NYC311_seed_controlled_augmentation_v2
The water service is affected by no water close to the bus stop. This is causing inconvenience to the public.,water_supply,english,NYC311_seed_controlled_augmentation_v2
There is sewer or drain close to the bus stop. Please send the responsible team to inspect the area.,drainage,english,NYC311_seed_controlled_augmentation_v2
Please arrange cleaning because of missed recycling-all materials near the junction. This issue needs urgent attention.,garbage,english,NYC311_seed_controlled_augmentation_v2
Please arrange cleaning because of dirty area/alleyway in our neighbourhood.,garbage,english,NYC311_seed_controlled_augmentation_v2
This environmental problem involves chemical spill/release outside our building.,environment,english,NYC311_seed_controlled_augmentation_v2
Air: Other Air Problem is affecting the surrounding environment near the hospital. Please take the necessary action.,environment,english,NYC311_seed_controlled_augmentation_v2
"There is an environmental issue involving oil spill on street, small along the roadside. The problem has been continuing for some time.",environment,english,NYC311_seed_controlled_augmentation_v2
Our area is facing no water along the roadside. Please arrange an inspection.,water_supply,english,NYC311_seed_controlled_augmentation_v2
Residents are reporting manhole overflow near the hospital. The problem has been continuing for some time.,drainage,english,NYC311_seed_controlled_augmentation_v2
Residents are reporting manhole overflow near our house. We would appreciate assistance with this problem.,drainage,english,NYC311_seed_controlled_augmentation_v2
Defective Hardware is causing difficulties for vehicles close to the town centre. The problem has been continuing for some time.,roads,english,NYC311_seed_controlled_augmentation_v2
There is wiring near our house. This is causing inconvenience to the public.,electricity,english,NYC311_seed_controlled_augmentation_v2
The electrical system needs attention because of electrical wiring defective/exposed on the main road.,electricity,english,NYC311_seed_controlled_augmentation_v2
The drainage system is affected by sewer backup near the school.,drainage,english,NYC311_seed_controlled_augmentation_v2
Wastewater problems have occurred due to ponding near the hospital.,drainage,english,NYC311_seed_controlled_augmentation_v2
Chemical Vapors/Gases/Odors is affecting the surrounding environment on the main road. Please investigate this issue.,environment,english,NYC311_seed_controlled_augmentation_v2
The electricity service has a problem with lighting along the roadside.,electricity,english,NYC311_seed_controlled_augmentation_v2
Please check the water system because of low water pressure near the school.,water_supply,english,NYC311_seed_controlled_augmentation_v2
Residents are requesting action regarding improper disposal near the junction. We would appreciate assistance with this problem.,garbage,english,NYC311_seed_controlled_augmentation_v2
Please inspect the electrical issue involving lamppost knocked down outside our building. This issue needs urgent attention.,electricity,english,NYC311_seed_controlled_augmentation_v2
"Please repair rough, pitted or cracked roads close to the bus stop.",roads,english,NYC311_seed_controlled_augmentation_v2
"Please inspect the environmental issue involving air: dust, other near the school.",environment,english,NYC311_seed_controlled_augmentation_v2
Please arrange cleaning because of receptacle violation on the main road. Residents are requesting assistance.,garbage,english,NYC311_seed_controlled_augmentation_v2
Residents have reported multiple street lights out near the junction.,electricity,english,NYC311_seed_controlled_augmentation_v2
Please inspect the environmental issue involving asbestos complaint in the residential area.,environment,english,NYC311_seed_controlled_augmentation_v2
"People nearby have complained about oil spill on street, small near our house. The problem has been continuing for some time.",environment,english,NYC311_seed_controlled_augmentation_v2
Residents have reported hydrant leaking close to the bus stop. Please take the necessary action.,water_supply,english,NYC311_seed_controlled_augmentation_v2
People nearby have complained about chemical odor near the junction. This issue needs urgent attention.,environment,english,NYC311_seed_controlled_augmentation_v2
There is dirty sidewalk near the public market. This issue needs urgent attention.,garbage,english,NYC311_seed_controlled_augmentation_v2
Please resolve the drainage issue involving ponding near the school. The problem has been continuing for some time.,drainage,english,NYC311_seed_controlled_augmentation_v2
"Please investigate unsafe chemical, abandoned along the roadside.",environment,english,NYC311_seed_controlled_augmentation_v2
The drain is causing problems because of culvert blocked/needs cleaning near the school. Please investigate this issue.,drainage,english,NYC311_seed_controlled_augmentation_v2
The drain is causing problems because of sewer backup outside our building. Residents are requesting assistance.,drainage,english,NYC311_seed_controlled_augmentation_v2
There is street light out along the roadside. The problem has been continuing for some time.,electricity,english,NYC311_seed_controlled_augmentation_v2
Multiple Street Lights Out is affecting the area in our neighbourhood. Please take the necessary action.,electricity,english,NYC311_seed_controlled_augmentation_v2
Garbage collection is affected by missed recycling-all materials along the roadside. This is causing inconvenience to the public.,garbage,english,NYC311_seed_controlled_augmentation_v2
There is lamppost knocked down near the hospital. This issue needs urgent attention.,electricity,english,NYC311_seed_controlled_augmentation_v2
Please address missed recycling-all materials in the residential area.,garbage,english,NYC311_seed_controlled_augmentation_v2
Receptacle Violation is creating an unsanitary condition in our neighbourhood. Please arrange an inspection.,garbage,english,NYC311_seed_controlled_augmentation_v2
Residents have complained about street cond/dump-out/drop-off in our neighbourhood.,garbage,english,NYC311_seed_controlled_augmentation_v2
"Please check the water system because of taste/odor, chlorine in our neighbourhood.",water_supply,english,NYC311_seed_controlled_augmentation_v2
Waste has become a problem due to missed recycling - m/g/pl in the residential area.,garbage,english,NYC311_seed_controlled_augmentation_v2
We need assistance with catch basin clogged/flooding near the junction. The problem has been continuing for some time.,drainage,english,NYC311_seed_controlled_augmentation_v2
Residents are concerned about pothole close to the town centre.,roads,english,NYC311_seed_controlled_augmentation_v2
The electrical system needs attention because of lighting near our house. Please send the responsible team to inspect the area.,electricity,english,NYC311_seed_controlled_augmentation_v2
We would like to report defective hardware near the public market. This issue needs urgent attention.,roads,english,NYC311_seed_controlled_augmentation_v2
Defective Hardware is causing difficulties for vehicles close to the bus stop. This is causing inconvenience to the public.,roads,english,NYC311_seed_controlled_augmentation_v2
Loose Rubbish is creating an unsanitary condition near the hospital.,garbage,english,NYC311_seed_controlled_augmentation_v2
There is pothole in the residential area.,roads,english,NYC311_seed_controlled_augmentation_v2
Please inspect the electrical issue involving street light lamp dim in the residential area. This issue needs urgent attention.,electricity,english,NYC311_seed_controlled_augmentation_v2
Garbage collection is affected by bulk-missed recy collection close to the town centre. This is causing inconvenience to the public.,garbage,english,NYC311_seed_controlled_augmentation_v2
Residents have complained about bulk-missed collection near the hospital. The problem has been continuing for some time.,garbage,english,NYC311_seed_controlled_augmentation_v2
We need assistance with sewage leak along the roadside. This is causing inconvenience to the public.,drainage,english,NYC311_seed_controlled_augmentation_v2
The drainage issue appears to involve catch basin clogged/flooding in the residential area.,drainage,english,NYC311_seed_controlled_augmentation_v2
People in the area are affected by lighting near the junction. Please arrange an inspection.,electricity,english,NYC311_seed_controlled_augmentation_v2
Residents are concerned about chemical vapors/gases/odors close to the town centre. The problem has been continuing for some time.,environment,english,NYC311_seed_controlled_augmentation_v2
There is culvert blocked/needs cleaning in the residential area. Please arrange an inspection.,drainage,english,NYC311_seed_controlled_augmentation_v2
Garbage collection is affected by improper disposal outside our building. We would appreciate assistance with this problem.,garbage,english,NYC311_seed_controlled_augmentation_v2
There is a water supply issue involving no water near the public market. Residents are requesting assistance.,water_supply,english,NYC311_seed_controlled_augmentation_v2
People in the area are affected by lighting close to the bus stop.,electricity,english,NYC311_seed_controlled_augmentation_v2
Wastewater problems have occurred due to sewer or drain in the residential area. Please send the responsible team to inspect the area.,drainage,english,NYC311_seed_controlled_augmentation_v2
"People nearby have complained about air: smoke, chimney or vent near our house.",environment,english,NYC311_seed_controlled_augmentation_v2
WIRING is affecting the area near the junction. The problem has been continuing for some time.,electricity,english,NYC311_seed_controlled_augmentation_v2
Please resolve the drainage issue involving sewer backup close to the bus stop. Please send the responsible team to inspect the area.,drainage,english,NYC311_seed_controlled_augmentation_v2
The road has curb defect-metal protruding along the roadside. The problem has been continuing for some time.,roads,english,NYC311_seed_controlled_augmentation_v2
"Residents are concerned about air: dust, construction/demolition near our house. Please send the responsible team to inspect the area.",environment,english,NYC311_seed_controlled_augmentation_v2
"Our area is facing taste/odor, chlorine in the residential area. Please investigate this issue.",water_supply,english,NYC311_seed_controlled_augmentation_v2
The drain is causing problems because of catch basin clogged/flooding near our house. Residents are requesting assistance.,drainage,english,NYC311_seed_controlled_augmentation_v2
There appears to be street light out close to the town centre. We would appreciate assistance with this problem.,electricity,english,NYC311_seed_controlled_augmentation_v2
Please repair defective hardware near the hospital. The problem has been continuing for some time.,roads,english,NYC311_seed_controlled_augmentation_v2
Please inspect the environmental issue involving chemical vapors/gases/odors near the hospital. Residents are requesting assistance.,environment,english,NYC311_seed_controlled_augmentation_v2
The electricity service has a problem with electrical wiring defective/exposed near the public market. Please resolve this problem as soon as possible.,electricity,english,NYC311_seed_controlled_augmentation_v2
Vehicles are being affected by pothole - highway near the hospital.,roads,english,NYC311_seed_controlled_augmentation_v2
Culvert Blocked/Needs Cleaning is causing drainage problems near the hospital. Please take the necessary action.,drainage,english,NYC311_seed_controlled_augmentation_v2
The electricity service has a problem with power outage close to the bus stop.,electricity,english,NYC311_seed_controlled_augmentation_v2
The area needs cleaning because of loose rubbish along the roadside.,garbage,english,NYC311_seed_controlled_augmentation_v2
The electrical system needs attention because of lamppost knocked down on the main road.,electricity,english,NYC311_seed_controlled_augmentation_v2
Wastewater problems have occurred due to catch basin clogged/flooding close to the town centre. Please arrange an inspection.,drainage,english,NYC311_seed_controlled_augmentation_v2
"Residents are concerned about air: dust, other in our neighbourhood.",environment,english,NYC311_seed_controlled_augmentation_v2
"Residents have reported cloudy or milky, other near the public market. The problem has been continuing for some time.",water_supply,english,NYC311_seed_controlled_augmentation_v2
Residents are concerned about defective hardware on the main road.,roads,english,NYC311_seed_controlled_augmentation_v2
There is street light lamp dim near the hospital. This is causing inconvenience to the public.,electricity,english,NYC311_seed_controlled_augmentation_v2
Street Flooding is causing drainage problems outside our building. We would appreciate assistance with this problem.,drainage,english,NYC311_seed_controlled_augmentation_v2
There is a waste management problem involving bulk-missed recy collection near the hospital. The problem has been continuing for some time.,garbage,english,NYC311_seed_controlled_augmentation_v2
There is missed recycling - m/g/pl close to the bus stop. Please resolve this problem as soon as possible.,garbage,english,NYC311_seed_controlled_augmentation_v2
The drainage system is affected by sewage leak close to the bus stop.,drainage,english,NYC311_seed_controlled_augmentation_v2
We are experiencing an electrical problem involving street light lamp dim along the roadside. Residents are requesting assistance.,electricity,english,NYC311_seed_controlled_augmentation_v2
Sewage Leak is causing drainage problems in our neighbourhood. This issue needs urgent attention.,drainage,english,NYC311_seed_controlled_augmentation_v2
Residents are requesting action regarding missed recycling - m/g/pl on the main road. Please resolve this problem as soon as possible.,garbage,english,NYC311_seed_controlled_augmentation_v2
"People in the area are experiencing taste/odor, bitter/metallic near the junction.",water_supply,english,NYC311_seed_controlled_augmentation_v2
Vehicles are being affected by pothole in our neighbourhood.,roads,english,NYC311_seed_controlled_augmentation_v2
"The road surface is damaged due to rough, pitted or cracked roads near the hospital. We would appreciate assistance with this problem.",roads,english,NYC311_seed_controlled_augmentation_v2
SLOW LEAK is affecting the local water supply near the public market. Please send the responsible team to inspect the area.,water_supply,english,NYC311_seed_controlled_augmentation_v2
"The area is affected by air: smoke, vehicular on the main road.",environment,english,NYC311_seed_controlled_augmentation_v2
"There appears to be taste/odor, bitter/metallic outside our building. Please investigate this issue.",water_supply,english,NYC311_seed_controlled_augmentation_v2
Street Flooding is causing drainage problems in the residential area. Please arrange an inspection.,drainage,english,NYC311_seed_controlled_augmentation_v2
Vehicles are being affected by wear & tear on the main road. Please resolve this problem as soon as possible.,roads,english,NYC311_seed_controlled_augmentation_v2
Broken Curb is causing difficulties for vehicles outside our building. Please resolve this problem as soon as possible.,roads,english,NYC311_seed_controlled_augmentation_v2
Loose Rubbish is creating an unsanitary condition near the junction. Please send the responsible team to inspect the area.,garbage,english,NYC311_seed_controlled_augmentation_v2
Please check the water system because of possible water main break near the hospital. Please investigate this issue.,water_supply,english,NYC311_seed_controlled_augmentation_v2
The area is affected by air: other air problem along the roadside.,environment,english,NYC311_seed_controlled_augmentation_v2
Please arrange cleaning because of missed recycling-all materials close to the bus stop. Residents are requesting assistance.,garbage,english,NYC311_seed_controlled_augmentation_v2
"Residents are requesting action regarding air: dust, construction/demolition near the public market. The problem has been continuing for some time.",environment,english,NYC311_seed_controlled_augmentation_v2
Please arrange cleaning because of receptacle violation close to the bus stop. Please resolve this problem as soon as possible.,garbage,english,NYC311_seed_controlled_augmentation_v2
Please send a technician because of no lighting outside our building. Please investigate this issue.,electricity,english,NYC311_seed_controlled_augmentation_v2
Please inspect the electrical issue involving lamppost knocked down close to the bus stop.,electricity,english,NYC311_seed_controlled_augmentation_v2
The area needs cleaning because of missed recycling - m/g/pl close to the town centre. Please resolve this problem as soon as possible.,garbage,english,NYC311_seed_controlled_augmentation_v2
Please investigate chemical spill/release near the hospital.,environment,english,NYC311_seed_controlled_augmentation_v2
Please investigate the water problem caused by hydrant leaking outside our building. This is causing inconvenience to the public.,water_supply,english,NYC311_seed_controlled_augmentation_v2
There is an environmental issue involving chemical odor in our neighbourhood.,environment,english,NYC311_seed_controlled_augmentation_v2
The electricity service has a problem with multiple street lights out along the roadside. The problem has been continuing for some time.,electricity,english,NYC311_seed_controlled_augmentation_v2
Please investigate the water problem caused by leak near our house.,water_supply,english,NYC311_seed_controlled_augmentation_v2
Please investigate the water problem caused by unknown odor/taste in drinking water outside our building.,water_supply,english,NYC311_seed_controlled_augmentation_v2
"Rough, Pitted or Cracked Roads is causing difficulties for vehicles along the roadside.",roads,english,NYC311_seed_controlled_augmentation_v2
There is street light out near the school. Please take the necessary action.,electricity,english,NYC311_seed_controlled_augmentation_v2
"Residents are requesting action regarding air: odor/fumes, restaurant along the roadside. This is causing inconvenience to the public.",environment,english,NYC311_seed_controlled_augmentation_v2
Drivers are facing problems because of pothole near our house.,roads,english,NYC311_seed_controlled_augmentation_v2
Residents have complained about missed recycling-all materials near the hospital.,garbage,english,NYC311_seed_controlled_augmentation_v2
The water service is affected by hydrant leaking close to the bus stop.,water_supply,english,NYC311_seed_controlled_augmentation_v2
"Residents are concerned about air: odor/fumes, restaurant on the main road. Please arrange an inspection.",environment,english,NYC311_seed_controlled_augmentation_v2
LOW WATER PRESSURE is affecting the local water supply near the public market.,water_supply,english,NYC311_seed_controlled_augmentation_v2
"Rough, Pitted or Cracked Roads is causing difficulties for vehicles in the residential area. We would appreciate assistance with this problem.",roads,english,NYC311_seed_controlled_augmentation_v2
Residents have reported wiring near the school.,electricity,english,NYC311_seed_controlled_augmentation_v2
Residents are requesting action regarding missed recycling paper along the roadside. Residents are requesting assistance.,garbage,english,NYC311_seed_controlled_augmentation_v2
The drainage issue appears to involve sewage leak near the hospital.,drainage,english,NYC311_seed_controlled_augmentation_v2
Residents are concerned about broken curb in our neighbourhood. Please investigate this issue.,roads,english,NYC311_seed_controlled_augmentation_v2
The drainage system is affected by sewage odor outside our building.,drainage,english,NYC311_seed_controlled_augmentation_v2
We need assistance with catch basin clogged/flooding near the hospital. Please arrange an inspection.,drainage,english,NYC311_seed_controlled_augmentation_v2
"Please investigate oil spill on street, small near the hospital. Please investigate this issue.",environment,english,NYC311_seed_controlled_augmentation_v2
Residents are requesting action regarding bulk-missed recy collection close to the town centre. This issue needs urgent attention.,garbage,english,NYC311_seed_controlled_augmentation_v2
"We have noticed oil spill on street, large near the school.",environment,english,NYC311_seed_controlled_augmentation_v2
"This environmental problem involves oil spill on street, small near the hospital. This issue needs urgent attention.",environment,english,NYC311_seed_controlled_augmentation_v2
The road needs attention because of defective hardware on the main road. This issue needs urgent attention.,roads,english,NYC311_seed_controlled_augmentation_v2
The road has pothole along the roadside. Please resolve this problem as soon as possible.,roads,english,NYC311_seed_controlled_augmentation_v2
Please arrange cleaning because of missed collection in our neighbourhood. Please investigate this issue.,garbage,english,NYC311_seed_controlled_augmentation_v2
There appears to be dirty water near the hospital.,water_supply,english,NYC311_seed_controlled_augmentation_v2
Street Flooding is causing drainage problems near the public market. This is causing inconvenience to the public.,drainage,english,NYC311_seed_controlled_augmentation_v2
Please investigate the water problem caused by slow leak near the public market.,water_supply,english,NYC311_seed_controlled_augmentation_v2
Residents have complained about missed recycling paper in the residential area. We would appreciate assistance with this problem.,garbage,english,NYC311_seed_controlled_augmentation_v2
"We have noticed oil spill on street, small near the junction.",environment,english,NYC311_seed_controlled_augmentation_v2
"The area is affected by air: smoke, chimney or vent near the public market.",environment,english,NYC311_seed_controlled_augmentation_v2
LIGHTING is affecting the area near our house.,electricity,english,NYC311_seed_controlled_augmentation_v2
Garbage collection is affected by street cond/dump-out/drop-off close to the town centre.,garbage,english,NYC311_seed_controlled_augmentation_v2
Residents are requesting action regarding asbestos complaint on the main road.,environment,english,NYC311_seed_controlled_augmentation_v2
The drainage issue appears to involve sewer or drain close to the town centre. This is causing inconvenience to the public.,drainage,english,NYC311_seed_controlled_augmentation_v2
The electrical system needs attention because of lighting on the main road.,electricity,english,NYC311_seed_controlled_augmentation_v2
Please inspect the environmental issue involving chemical vapors/gases/odors near the hospital. Please take the necessary action.,environment,english,NYC311_seed_controlled_augmentation_v2
Waste has become a problem due to missed recycling - m/g/pl along the roadside. We would appreciate assistance with this problem.,garbage,english,NYC311_seed_controlled_augmentation_v2
Residents are requesting action regarding receptacle violation close to the bus stop. Please resolve this problem as soon as possible.,garbage,english,NYC311_seed_controlled_augmentation_v2
Manhole Overflow is causing drainage problems near the public market.,drainage,english,NYC311_seed_controlled_augmentation_v2
The road needs attention because of pothole close to the town centre. Please take the necessary action.,roads,english,NYC311_seed_controlled_augmentation_v2
Please send a technician because of wiring close to the town centre. This is causing inconvenience to the public.,electricity,english,NYC311_seed_controlled_augmentation_v2
Waste has become a problem due to missed collection along the roadside. Please take the necessary action.,garbage,english,NYC311_seed_controlled_augmentation_v2
Residents have complained about street cond/dump-out/drop-off outside our building. Please take the necessary action.,garbage,english,NYC311_seed_controlled_augmentation_v2
There is a water supply issue involving leak in the residential area. Residents are requesting assistance.,water_supply,english,NYC311_seed_controlled_augmentation_v2
The road has wear & tear along the roadside.,roads,english,NYC311_seed_controlled_augmentation_v2
Residents are reporting catch basin clogged/flooding near the hospital. Please arrange an inspection.,drainage,english,NYC311_seed_controlled_augmentation_v2
"Unsafe Chemical, Abandoned is affecting the surrounding environment close to the bus stop.",environment,english,NYC311_seed_controlled_augmentation_v2
The drainage issue appears to involve manhole overflow near the school. Please investigate this issue.,drainage,english,NYC311_seed_controlled_augmentation_v2
LOW WATER PRESSURE is affecting the local water supply in our neighbourhood. We would appreciate assistance with this problem.,water_supply,english,NYC311_seed_controlled_augmentation_v2
"Rough, Pitted or Cracked Roads is causing difficulties for vehicles near the public market. Please take the necessary action.",roads,english,NYC311_seed_controlled_augmentation_v2
Ponding is causing drainage problems near the school.,drainage,english,NYC311_seed_controlled_augmentation_v2
