complaint_text,priority
Residents have noticed that a section of road has sunk and vehicles must drive around it near the public market. People in the area have reported the same issue.,medium
There is a problem where a small patch of the road surface has become uneven along the roadside. The issue is affecting normal use of the area.,low
People in the area are reporting that tap water has a slight unusual smell but remains available at the main junction. The problem has continued despite recent rainfall.,low
People in the area are reporting that a small crack has appeared along the edge of a side road near the public market.,low
We have noticed that a small patch of the road surface has become uneven at the main junction. The condition has remained unchanged since yesterday.,low
Residents have noticed that tap water has a slight unusual smell but remains available on the main road. The issue is affecting normal use of the area.,low
Water pressure is too low for many houses in the area near the hospital.,medium
We have noticed that a roadside drain is blocked and rainwater is collecting across part of the road near the community hall. People in the area have reported the same issue.,medium
We have noticed that several potholes are making vehicles slow down on the main road along the roadside. The condition has remained unchanged since yesterday.,medium
The situation involves several potholes are making vehicles slow down on the main road near our houses. The condition has remained unchanged since yesterday.,medium
People in the area are reporting that a single street sign area has minor surface damage near the public market. People in the area have reported the same issue.,low
We have noticed that a section of road has sunk and vehicles must drive around it near the community hall. People in the area have reported the same issue.,medium
There is a problem where electrical wires are sparking beside a crowded pedestrian area near our houses.,high
A chemical liquid has leaked onto a public road beside residential buildings near the public market.,high
A local issue has developed where a roadside drain is blocked and rainwater is collecting across part of the road near our houses. People passing through the area are being affected.,medium
There is a small amount of dust near a construction site close to the bus stop.,low
People in the area are reporting that a roadside drain has some leaves and sediment inside it close to the playground. The condition has remained unchanged since yesterday.,low
A local issue has developed where dense smoke from a nearby facility is causing residents to leave their homes near the hospital. People passing through the area are being affected.,high
A local issue has developed where a fallen power cable is lying across a pedestrian path along the roadside. The condition has remained unchanged since yesterday.,high
A local issue has developed where floodwater has entered houses and is continuing to rise near our houses.,high
Residents have noticed that sewage is spreading across a school access road near the community hall.,high
Water supply has been unavailable to a neighbourhood since yesterday near the hospital. People passing through the area are being affected.,medium
A local issue has developed where a large public waste bin is overflowing onto the pavement in our neighbourhood. The condition becomes worse during busy periods.,medium
The situation involves there is a small amount of dust near a construction site on the main road.,low
The situation involves smoke from a nearby workshop is entering nearby houses near our houses. The problem can be seen clearly from the roadside.,medium
We have noticed that a deep hole has opened across most of the traffic lane near a blind bend close to the playground.,high
Residents have noticed that a drain cover is slightly loose but still in place in our neighbourhood. People passing through the area are being affected.,low
We have noticed that floodwater has entered houses and is continuing to rise near the public market.,high
We have noticed that a section of road has sunk and vehicles must drive around it near the town centre.,medium
People in the area are reporting that a large section of road has collapsed beside a school entrance near the public market. People in the area have reported the same issue.,high
A local issue has developed where a major water pipe has burst and water is entering nearby houses near the school. Several nearby residents have raised concerns.,high
A local issue has developed where a shallow puddle forms after light rain near the public market. The issue has been reported by households nearby.,low
We have noticed that a roadside drain is blocked and rainwater is collecting across part of the road near the town centre. The issue has been reported by households nearby.,medium
A local issue has developed where a deep hole has opened across most of the traffic lane near a blind bend near the town centre. The problem has continued despite recent rainfall.,high
The situation involves the road surface is damaged in several places and motorcycles are having difficulty passing near the school.,medium
There is a problem where a sewer blockage is creating a strong smell across several nearby properties near the community hall.,medium
A local issue has developed where a minor water leak is dripping from a public pipe close to the playground. Several nearby residents have raised concerns.,low
Residents have noticed that a large section of road has collapsed beside a school entrance near the community hall. Residents noticed the problem this morning.,high
Residents have noticed that a large section of road has collapsed beside a school entrance in our neighbourhood. People in the area have reported the same issue.,high
Residents have noticed that a public bin is partly full but not overflowing close to the bus stop.,low
People in the area are reporting that the road surface is damaged in several places and motorcycles are having difficulty passing near the town centre. The problem has continued despite recent rainfall.,medium
Residents have noticed that part of a roadside retaining wall has collapsed onto the traffic lane at the main junction. People in the area have reported the same issue.,high
One lamp flickers occasionally during the evening in our neighbourhood.,low
A drain cover is slightly loose but still in place on the main road. The condition becomes worse during busy periods.,low
People in the area are reporting that smoke from a nearby workshop is entering nearby houses near the hospital. People passing through the area are being affected.,medium
The situation involves a large public waste bin is overflowing onto the pavement near our houses. People passing through the area are being affected.,medium
People in the area are reporting that a drain cover is slightly loose but still in place close to the playground. The condition becomes worse during busy periods.,low
Several potholes are making vehicles slow down on the main road near our houses. The issue has been reported by households nearby.,medium
There is a problem where a drain cover is slightly loose but still in place near our houses. The condition has remained unchanged since yesterday.,low
The situation involves a few garbage bags are waiting at the normal collection point at the main junction. The issue has been reported by households nearby.,low
People in the area are reporting that water supply has been unavailable to a neighbourhood since yesterday close to the playground. The issue is affecting normal use of the area.,medium
An exposed electrical cable is hanging low where pedestrians can reach it near the hospital.,high
Residents have noticed that a drain cover is slightly loose but still in place near our houses. The condition has remained unchanged since yesterday.,low
We have noticed that electrical wires are sparking beside a crowded pedestrian area on the main road.,high
A deep hole has opened across most of the traffic lane near a blind bend near the public market.,high
The situation involves tap water has a slight unusual smell but remains available near the community hall.,low
A chemical liquid has leaked onto a public road beside residential buildings in our neighbourhood.,high
A local issue has developed where a curb has a small chipped section near the public market. Residents noticed the problem this morning.,low
Residents have noticed that one lamp flickers occasionally during the evening in our neighbourhood.,low
There is a problem where garbage collection has been missed for several days and waste is accumulating near the public market. Residents noticed the problem this morning.,medium
The situation involves the road surface is damaged in several places and motorcycles are having difficulty passing in our neighbourhood. The condition becomes worse during busy periods.,medium
Residents have noticed that sewage is flowing into several homes from an overflowing manhole close to the bus stop. The issue has been reported by households nearby.,high
A local issue has developed where a roadside drain is blocked and rainwater is collecting across part of the road near the school.,medium
The situation involves a small crack has appeared along the edge of a side road near our houses. The issue is affecting normal use of the area.,low
The situation involves wastewater is overflowing from a drain onto the roadside near our houses. People passing through the area are being affected.,medium
The situation involves repeated electricity interruptions are affecting many houses in our neighbourhood.,medium
Dense smoke from a nearby facility is causing residents to leave their homes near the community hall.,high
We have noticed that several street lights along one road are not working on the main road. The issue is affecting normal use of the area.,medium
A local issue has developed where one street lamp is dim but still provides some light along the roadside.,low
People in the area are reporting that a roadside drain has some leaves and sediment inside it near the town centre. The issue has been reported by households nearby.,low
People in the area are reporting that a shallow puddle forms after light rain at the main junction. People passing through the area are being affected.,low
The situation involves an exposed electrical cable is hanging low where pedestrians can reach it on the main road. The condition becomes worse during busy periods.,high
People in the area are reporting that a water pipe is leaking continuously and a large amount of water is being wasted near the public market. The problem can be seen clearly from the roadside.,medium
We have noticed that water supply has been unavailable to a neighbourhood since yesterday close to the bus stop. The issue has been reported by households nearby.,medium
There is a problem where a roadside drain is blocked and rainwater is collecting across part of the road close to the playground.,medium
A local issue has developed where one street lamp is dim but still provides some light near the community hall. The issue has been reported by households nearby.,low
A minor water leak is dripping from a public pipe near the public market.,low
People in the area are reporting that a minor water leak is dripping from a public pipe at the main junction. People passing through the area are being affected.,low
We have noticed that a sewer blockage is creating a strong smell across several nearby properties near the public market.,medium
A roadside drain is blocked and rainwater is collecting across part of the road close to the bus stop. The issue has been reported by households nearby.,medium
Sewage is flowing into several homes from an overflowing manhole near the public market. Residents noticed the problem this morning.,high
Residents have noticed that a chemical liquid has leaked onto a public road beside residential buildings close to the playground.,high
There is a problem where several potholes are making vehicles slow down on the main road near the hospital.,medium
Residents have noticed that a damaged electrical pole is leaning over a busy road near the public market. Residents noticed the problem this morning.,high
People in the area are reporting that a major water pipe has burst and water is entering nearby houses at the main junction.,high
Residents have noticed that a major water pipe has burst and water is entering nearby houses close to the playground.,high
The situation involves a curb has a small chipped section near the school.,low
People in the area are reporting that electrical wires are sparking beside a crowded pedestrian area close to the bus stop.,high
A local issue has developed where electrical wires are sparking beside a crowded pedestrian area close to the playground. The condition becomes worse during busy periods.,high
People in the area are reporting that a damaged electrical pole is leaning over a busy road near the hospital. The issue has been reported by households nearby.,high
There is a problem where a single street sign area has minor surface damage close to the bus stop. Residents noticed the problem this morning.,low
There is a problem where water supply has been unavailable to a neighbourhood since yesterday along the roadside. The problem can be seen clearly from the roadside.,medium
A local issue has developed where sewage is spreading across a school access road near our houses. The problem has continued despite recent rainfall.,high
The situation involves a public bin is partly full but not overflowing near the school.,low
People in the area are reporting that a damaged electrical pole is leaning over a busy road at the main junction.,high
There is a problem where a small patch of the road surface has become uneven along the roadside.,low
A local issue has developed where construction dust is affecting nearby shops and homes throughout the day close to the playground. The issue has been reported by households nearby.,medium
A local issue has developed where a small crack has appeared along the edge of a side road on the main road.,low
Residents have noticed that a fallen power cable is lying across a pedestrian path on the main road.,high
A local issue has developed where a sewer blockage is creating a strong smell across several nearby properties on the main road.,medium
There is a problem where an exposed electrical cable is hanging low where pedestrians can reach it in our neighbourhood. Residents noticed the problem this morning.,high
There is a problem where a section of road has sunk and vehicles must drive around it close to the playground. The condition becomes worse during busy periods.,medium
There is a problem where a water pipe is leaking continuously and a large amount of water is being wasted near the community hall. The problem has continued despite recent rainfall.,medium
A local issue has developed where a shallow puddle forms after light rain close to the playground.,low
A local issue has developed where a public bin is partly full but not overflowing at the main junction.,low
Residents have noticed that water supply has been unavailable to a neighbourhood since yesterday near the school. The problem has continued despite recent rainfall.,medium
The situation involves a water pipe is leaking continuously and a large amount of water is being wasted along the roadside. Several nearby residents have raised concerns.,medium
One street lamp is dim but still provides some light close to the playground. People in the area have reported the same issue.,low
Residents have noticed that thick smoke is causing breathing difficulty among nearby residents near the school. The issue has been reported by households nearby.,high
The situation involves dense smoke from a nearby facility is causing residents to leave their homes on the main road. Residents noticed the problem this morning.,high
There is a problem where a single street sign area has minor surface damage close to the bus stop. The problem has continued despite recent rainfall.,low
The situation involves a damaged electrical pole is leaning over a busy road close to the playground. Residents noticed the problem this morning.,high
We have noticed that an exposed electrical cable is hanging low where pedestrians can reach it close to the playground.,high
We have noticed that a water pipe is leaking continuously and a large amount of water is being wasted near the hospital. The issue is affecting normal use of the area.,medium
People in the area are reporting that a single street sign area has minor surface damage near the public market.,low
People in the area are reporting that electrical wires are sparking beside a crowded pedestrian area close to the playground. The problem can be seen clearly from the roadside.,high
Water pressure is too low for many houses in the area close to the bus stop. The issue has been reported by households nearby.,medium
A local issue has developed where dense smoke from a nearby facility is causing residents to leave their homes near our houses. People in the area have reported the same issue.,high
A local issue has developed where the road surface is damaged in several places and motorcycles are having difficulty passing at the main junction. People passing through the area are being affected.,medium
The situation involves a drain cover is slightly loose but still in place near the hospital. The condition becomes worse during busy periods.,low
We have noticed that a sewer blockage is creating a strong smell across several nearby properties near the community hall. The issue has been reported by households nearby.,medium
Residents have noticed that a curb has a small chipped section near the town centre. Several nearby residents have raised concerns.,low
The situation involves a major water pipe has burst and water is entering nearby houses near the community hall.,high
Residents have noticed that water pressure is too low for many houses in the area close to the playground. The condition has remained unchanged since yesterday.,medium
Residents have noticed that a major water pipe has burst and water is entering nearby houses near the community hall.,high
A local issue has developed where one lamp flickers occasionally during the evening close to the bus stop. Several nearby residents have raised concerns.,low
Residents have noticed that a shallow puddle forms after light rain close to the bus stop.,low
A local issue has developed where a small amount of litter is scattered near a bus stop near the school. Several nearby residents have raised concerns.,low
People in the area are reporting that sewage is spreading across a school access road near the community hall.,high
A local issue has developed where a sewer blockage is creating a strong smell across several nearby properties near the school. People in the area have reported the same issue.,medium
A local issue has developed where construction dust is affecting nearby shops and homes throughout the day near the hospital. The condition has remained unchanged since yesterday.,medium
A local issue has developed where a roadside drain has some leaves and sediment inside it at the main junction.,low
There is a problem where water supply has been unavailable to a neighbourhood since yesterday near the school.,medium
People in the area are reporting that a section of road has sunk and vehicles must drive around it on the main road. The problem can be seen clearly from the roadside.,medium
A local issue has developed where one lamp flickers occasionally during the evening on the main road.,low
A local issue has developed where several potholes are making vehicles slow down on the main road near our houses. The condition has remained unchanged since yesterday.,medium
A damaged electrical pole is leaning over a busy road in our neighbourhood.,high
A curb has a small chipped section along the roadside. The problem has continued despite recent rainfall.,low
People in the area are reporting that thick smoke is causing breathing difficulty among nearby residents near the community hall.,high
People in the area are reporting that one lamp flickers occasionally during the evening near the town centre. People in the area have reported the same issue.,low
We have noticed that one lamp flickers occasionally during the evening along the roadside. The condition has remained unchanged since yesterday.,low
There is a problem where wastewater is overflowing from a drain onto the roadside near the public market. The condition has remained unchanged since yesterday.,medium
People in the area are reporting that a water pipe is leaking continuously and a large amount of water is being wasted near the hospital. People in the area have reported the same issue.,medium
A local issue has developed where a curb has a small chipped section along the roadside. The condition becomes worse during busy periods.,low
The situation involves a water main failure has flooded the entrance to a hospital near the school. Several nearby residents have raised concerns.,high
Residents have noticed that construction dust is affecting nearby shops and homes throughout the day near the hospital.,medium
Several street lights along one road are not working near the town centre. The issue is affecting normal use of the area.,medium
We have noticed that a fallen power cable is lying across a pedestrian path along the roadside. The issue is affecting normal use of the area.,high
A local issue has developed where a fallen power cable is lying across a pedestrian path near the town centre. The problem can be seen clearly from the roadside.,high
People in the area are reporting that a single street sign area has minor surface damage near the school.,low
A chemical liquid has leaked onto a public road beside residential buildings near the public market. Residents noticed the problem this morning.,high
We have noticed that thick smoke is causing breathing difficulty among nearby residents near the public market.,high
A local issue has developed where several street lights along one road are not working near the town centre.,medium
People in the area are reporting that smoke from a nearby workshop is entering nearby houses near the community hall.,medium
People in the area are reporting that sewage is spreading across a school access road near the public market. Residents noticed the problem this morning.,high
We have noticed that a small amount of litter is scattered near a bus stop near the school.,low
There is a problem where there is a small amount of dust near a construction site close to the playground. Several nearby residents have raised concerns.,low
People in the area are reporting that a public bin is partly full but not overflowing along the roadside.,low
People in the area are reporting that a minor water leak is dripping from a public pipe near the community hall. Residents noticed the problem this morning.,low
A section of road has sunk and vehicles must drive around it near the school. The issue has been reported by households nearby.,medium
A local issue has developed where electrical wires are sparking beside a crowded pedestrian area in our neighbourhood.,high
A local issue has developed where several potholes are making vehicles slow down on the main road near our houses.,medium
The situation involves several street lights along one road are not working near the hospital.,medium
We have noticed that a shallow puddle forms after light rain close to the playground. Residents noticed the problem this morning.,low
A local issue has developed where sewage is flowing into several homes from an overflowing manhole near the town centre. Residents noticed the problem this morning.,high
People in the area are reporting that wastewater is overflowing from a drain onto the roadside on the main road. Residents noticed the problem this morning.,medium
Residents have noticed that tap water has a slight unusual smell but remains available along the roadside.,low
A local issue has developed where a curb has a small chipped section near the public market. People in the area have reported the same issue.,low
Residents have noticed that a chemical liquid has leaked onto a public road beside residential buildings close to the bus stop. The condition has remained unchanged since yesterday.,high
People in the area are reporting that wastewater is overflowing from a drain onto the roadside near the hospital. People passing through the area are being affected.,medium
Residents have noticed that a minor water leak is dripping from a public pipe near the town centre.,low
There is a problem where the road surface is damaged in several places and motorcycles are having difficulty passing near the hospital. The condition has remained unchanged since yesterday.,medium
There is a problem where several street lights along one road are not working along the roadside. The issue has been reported by households nearby.,medium
Residents have noticed that a major water pipe has burst and water is entering nearby houses along the roadside. The problem has continued despite recent rainfall.,high
People in the area are reporting that a small amount of litter is scattered near a bus stop in our neighbourhood.,low
A local issue has developed where a roadside drain has some leaves and sediment inside it near the community hall.,low
A local issue has developed where smoke from a nearby workshop is entering nearby houses near the hospital. The issue is affecting normal use of the area.,medium
We have noticed that one street lamp is dim but still provides some light on the main road. The condition becomes worse during busy periods.,low
People in the area are reporting that wastewater is overflowing from a drain onto the roadside along the roadside. The issue is affecting normal use of the area.,medium
The situation involves a damaged electrical pole is leaning over a busy road close to the bus stop. The problem can be seen clearly from the roadside.,high
People in the area are reporting that a shallow puddle forms after light rain near the community hall. The issue has been reported by households nearby.,low
A major water pipe has burst and water is entering nearby houses close to the bus stop.,high
There is a problem where a curb has a small chipped section at the main junction. The issue is affecting normal use of the area.,low
An exposed electrical cable is hanging low where pedestrians can reach it near the community hall.,high
A local issue has developed where several street lights along one road are not working near the hospital.,medium
People in the area are reporting that a curb has a small chipped section near our houses.,low
The situation involves tap water has a slight unusual smell but remains available near the hospital. The issue is affecting normal use of the area.,low
Smoke from a nearby workshop is entering nearby houses near the town centre.,medium
People in the area are reporting that one street lamp is dim but still provides some light near the community hall.,low
Residents have noticed that a single street sign area has minor surface damage on the main road.,low
There is a problem where a chemical liquid has leaked onto a public road beside residential buildings in our neighbourhood.,high
A local issue has developed where smoke from a nearby workshop is entering nearby houses near the town centre.,medium
We have noticed that construction dust is affecting nearby shops and homes throughout the day at the main junction. People passing through the area are being affected.,medium
A local issue has developed where a shallow puddle forms after light rain on the main road.,low
A roadside drain is blocked and rainwater is collecting across part of the road near the community hall. The issue is affecting normal use of the area.,medium
We have noticed that electrical wires are sparking beside a crowded pedestrian area near the public market. The problem can be seen clearly from the roadside.,high
We have noticed that sewage is flowing into several homes from an overflowing manhole along the roadside. The condition becomes worse during busy periods.,high
A local issue has developed where garbage collection has been missed for several days and waste is accumulating at the main junction.,medium
The situation involves electrical wires are sparking beside a crowded pedestrian area near the public market. Several nearby residents have raised concerns.,high
People in the area are reporting that a fallen power cable is lying across a pedestrian path on the main road.,high
A large section of road has collapsed beside a school entrance at the main junction. The problem has continued despite recent rainfall.,high
Residents have noticed that several potholes are making vehicles slow down on the main road along the roadside. The problem can be seen clearly from the roadside.,medium
We have noticed that construction dust is affecting nearby shops and homes throughout the day near the school. The condition becomes worse during busy periods.,medium
We have noticed that a drain cover is slightly loose but still in place close to the bus stop. People passing through the area are being affected.,low
A local issue has developed where a large public waste bin is overflowing onto the pavement in our neighbourhood. The problem has continued despite recent rainfall.,medium
A local issue has developed where there is a small amount of dust near a construction site near the public market.,low
Electrical wires are sparking beside a crowded pedestrian area near the community hall. The problem can be seen clearly from the roadside.,high
A water main failure has flooded the entrance to a hospital near the public market. Several nearby residents have raised concerns.,high
People in the area are reporting that a chemical liquid has leaked onto a public road beside residential buildings near the hospital.,high
A local issue has developed where electrical wires are sparking beside a crowded pedestrian area in our neighbourhood. People passing through the area are being affected.,high
People in the area are reporting that a single street sign area has minor surface damage near our houses. The problem can be seen clearly from the roadside.,low
Wastewater is overflowing from a drain onto the roadside close to the playground. People passing through the area are being affected.,medium
There is a problem where water supply has been unavailable to a neighbourhood since yesterday near the town centre.,medium
There is a problem where electrical wires are sparking beside a crowded pedestrian area near the school.,high
A local issue has developed where a shallow puddle forms after light rain near the school. Several nearby residents have raised concerns.,low
A large public waste bin is overflowing onto the pavement along the roadside. The issue has been reported by households nearby.,medium
A local issue has developed where smoke from a nearby workshop is entering nearby houses in our neighbourhood. People in the area have reported the same issue.,medium
A chemical liquid has leaked onto a public road beside residential buildings near the school.,high
We have noticed that the road surface is damaged in several places and motorcycles are having difficulty passing near our houses. The condition becomes worse during busy periods.,medium
We have noticed that a single street sign area has minor surface damage near the community hall. People passing through the area are being affected.,low
We have noticed that a single street sign area has minor surface damage on the main road. The issue has been reported by households nearby.,low
Repeated electricity interruptions are affecting many houses near the community hall.,medium
People in the area are reporting that a few garbage bags are waiting at the normal collection point near the school.,low
We have noticed that a curb has a small chipped section at the main junction. The issue is affecting normal use of the area.,low
We have noticed that a small patch of the road surface has become uneven near the hospital. The condition has remained unchanged since yesterday.,low
Residents have noticed that a small patch of the road surface has become uneven near the school.,low
The road surface is damaged in several places and motorcycles are having difficulty passing along the roadside. The condition becomes worse during busy periods.,medium
We have noticed that there is a small amount of dust near a construction site in our neighbourhood. The problem has continued despite recent rainfall.,low
The situation involves sewage is flowing into several homes from an overflowing manhole on the main road.,high
There is a small amount of dust near a construction site near the school.,low
We have noticed that a small amount of litter is scattered near a bus stop close to the bus stop.,low
Residents have noticed that a chemical liquid has leaked onto a public road beside residential buildings near the public market. People passing through the area are being affected.,high
The situation involves part of a roadside retaining wall has collapsed onto the traffic lane near the town centre.,high
We have noticed that a roadside drain is blocked and rainwater is collecting across part of the road near the hospital. Residents noticed the problem this morning.,medium
A local issue has developed where several potholes are making vehicles slow down on the main road near the community hall.,medium
Residents have noticed that a water pipe is leaking continuously and a large amount of water is being wasted at the main junction. The condition becomes worse during busy periods.,medium
A local issue has developed where sewage is flowing into several homes from an overflowing manhole close to the bus stop. The condition has remained unchanged since yesterday.,high
There is a problem where a small amount of litter is scattered near a bus stop close to the playground.,low
We have noticed that a damaged electrical pole is leaning over a busy road near the community hall.,high
A local issue has developed where part of a roadside retaining wall has collapsed onto the traffic lane close to the playground. The issue has been reported by households nearby.,high
There is a problem where a roadside drain has some leaves and sediment inside it near our houses.,low
One street lamp is dim but still provides some light close to the bus stop.,low
Residents have noticed that a section of road has sunk and vehicles must drive around it near the town centre.,medium
A local issue has developed where a single street sign area has minor surface damage near the community hall. Several nearby residents have raised concerns.,low
The situation involves water supply has been unavailable to a neighbourhood since yesterday near the school. The condition becomes worse during busy periods.,medium
People in the area are reporting that floodwater has entered houses and is continuing to rise on the main road. People in the area have reported the same issue.,high
A local issue has developed where a few garbage bags are waiting at the normal collection point near the public market. The problem has continued despite recent rainfall.,low
There is a problem where a sewer blockage is creating a strong smell across several nearby properties on the main road.,medium
People in the area are reporting that wastewater is overflowing from a drain onto the roadside near the school. The problem has continued despite recent rainfall.,medium
There is a problem where construction dust is affecting nearby shops and homes throughout the day near the community hall. Several nearby residents have raised concerns.,medium
There is a problem where a public bin is partly full but not overflowing near the community hall. The issue has been reported by households nearby.,low
We have noticed that a small patch of the road surface has become uneven near our houses. The condition becomes worse during busy periods.,low
A local issue has developed where water pressure is too low for many houses in the area near the community hall. The issue is affecting normal use of the area.,medium
The situation involves a small patch of the road surface has become uneven near the town centre.,low
A fallen power cable is lying across a pedestrian path near the town centre. Several nearby residents have raised concerns.,high
The situation involves smoke from a nearby workshop is entering nearby houses near the public market.,medium
