complaint_text,priority,source
water service keeps stopping for several hours at a time near the community centre. residents are requesting prompt attention. The relevant department should investigate the problem.,medium,v3_targeted_augmentation
We have noticed that one lamp flickers occasionally during the evening along the roadside. The condition has remained unchanged since yesterday.,low,v2_original
We have noticed that garbage collection has been missed for several days and waste is accumulating near our houses.,medium,v2_original
Construction dust is affecting nearby shops and homes throughout the day near the town centre.,medium,v2_original
People living nearby have noticed that one street lamp is dim but still provides some light near the junction. the condition should be checked before it becomes worse. Please address this issue.,low,v3_targeted_augmentation
Residents have noticed that a small patch of the road surface has become uneven near the town centre. The issue has been reported by households nearby.,low,v2_original
A local issue has developed where a shallow puddle forms after light rain close to the playground. People passing through the area are being affected.,low,v2_original
Residents have noticed that a damaged electrical pole is leaning over a busy road on the main road.,high,v2_original
smoke from a nearby workshop is regularly entering nearby houses near the playground.,medium,v3_targeted_augmentation
We have noticed that a sewer blockage is creating a strong smell across several nearby properties in our neighbourhood. The problem has continued despite recent rainfall.,medium,v2_original
We have noticed that a curb has a small chipped section near our houses. People in the area have reported the same issue.,low,v2_original
There is a public complaint because a shallow puddle forms after light rain near the hospital. the condition should be checked before it becomes worse. Please take the necessary action.,low,v3_targeted_augmentation
Residents report that a small amount of rubbish has been left near a public bin near the junction.,low,v3_targeted_augmentation
We have noticed that a few garbage bags are waiting at the normal collection point along the roadside. Several nearby residents have raised concerns.,low,v2_original
"in our neighbourhood, a public waste container has a damaged lid but can still be used. the problem is limited to a small section. Please take the necessary action.",low,v3_targeted_augmentation
multiple damaged sections of road are affecting normal traffic beside the public road. Please take the necessary action.,medium,v3_targeted_augmentation
A local issue has developed where a shallow puddle forms after light rain on the main road.,low,v2_original
Residents have noticed that a fallen power cable is lying across a pedestrian path on the main road.,high,v2_original
The situation involves sewage is flowing into several homes from an overflowing manhole on the main road.,high,v2_original
The situation involves sewage is flowing into several homes from an overflowing manhole at the main junction. The condition has remained unchanged since yesterday.,high,v2_original
The situation involves there is a small amount of dust near a construction site near the school. Several nearby residents have raised concerns.,low,v2_original
Residents report that floodwater is rising quickly around homes and residents cannot leave safely in our neighbourhood.,high,v3_targeted_augmentation
"in our neighbourhood, a major road section has collapsed and vehicles are approaching the damaged area.",high,v3_targeted_augmentation
There is a problem where a deep hole has opened across most of the traffic lane near a blind bend near the town centre. Residents noticed the problem this morning.,high,v2_original
There is a problem where dense smoke from a nearby facility is causing residents to leave their homes near the hospital. Residents noticed the problem this morning.,high,v2_original
Sewage is spreading across a school access road at the main junction. The problem has continued despite recent rainfall.,high,v2_original
The situation involves there is a small amount of dust near a construction site near our houses.,low,v2_original
A local issue has developed where a water pipe is leaking continuously and a large amount of water is being wasted on the main road.,medium,v2_original
We have noticed that a sewer blockage is creating a strong smell across several nearby properties near the school. The problem has continued despite recent rainfall.,medium,v2_original
We would like to report that smoke from a nearby workshop is regularly entering nearby houses close to the local clinic.,medium,v3_targeted_augmentation
A local issue has developed where part of a roadside retaining wall has collapsed onto the traffic lane close to the playground. The issue has been reported by households nearby.,high,v2_original
Residents report that several potholes are making vehicles slow down and change direction close to the local clinic.,medium,v3_targeted_augmentation
a group of street lamps is not functioning at night near the playground.,medium,v3_targeted_augmentation
People in the area are reporting that dense smoke from a nearby facility is causing residents to leave their homes near our houses.,high,v2_original
A few garbage bags are waiting at the normal collection point along the roadside. The problem has continued despite recent rainfall.,low,v2_original
A local issue has developed where construction dust is affecting nearby shops and homes throughout the day near the public market.,medium,v2_original
There is a problem where water supply has been unavailable to a neighbourhood since yesterday along the roadside.,medium,v2_original
a few pieces of litter are scattered beside the walkway near the community centre. the issue is noticeable but not currently dangerous. Please inspect the issue.,low,v3_targeted_augmentation
There is a problem where a few garbage bags are waiting at the normal collection point on the main road. The issue has been reported by households nearby.,low,v2_original
We have noticed that sewage is flowing into several homes from an overflowing manhole near the community hall.,high,v2_original
Residents have reported that a few pieces of litter are scattered beside the walkway near our houses. residents can still use the area normally. Please inspect the issue.,low,v3_targeted_augmentation
People in the area are reporting that a shallow puddle forms after light rain near the town centre. The condition becomes worse during busy periods.,low,v2_original
Residents have noticed that sewage is spreading across a school access road near the community hall. The condition has remained unchanged since yesterday.,high,v2_original
We have noticed that repeated electricity interruptions are affecting many houses near our houses.,medium,v2_original
Residents have noticed that garbage collection has been missed for several days and waste is accumulating near the community hall. People in the area have reported the same issue.,medium,v2_original
The situation involves a large public waste bin is overflowing onto the pavement near the school. People in the area have reported the same issue.,medium,v2_original
Residents have noticed that a major water pipe has burst and water is entering nearby houses close to the bus stop. The issue has been reported by households nearby.,high,v2_original
We have noticed that a fallen power cable is lying across a pedestrian path at the main junction. The condition becomes worse during busy periods.,high,v2_original
A local issue has developed where wastewater is overflowing from a drain onto the roadside in our neighbourhood.,medium,v2_original
We have noticed that there is a small amount of dust near a construction site on the main road.,low,v2_original
The community would like to report that water supply has been unavailable to several houses since yesterday outside the school. normal daily activities are being affected. Please address this issue.,medium,v3_targeted_augmentation
The situation involves sewage is spreading across a school access road along the roadside. The issue has been reported by households nearby.,high,v2_original
The community would like to report that a small amount of rubbish has been left near a public bin along the main road. normal access to the area is still possible. Please inspect the issue.,low,v3_targeted_augmentation
We would like to report that thick black smoke is filling nearby houses and residents are struggling to breathe outside the hospital.,high,v3_targeted_augmentation
A roadside drain has some leaves and sediment inside it along the roadside. The problem can be seen clearly from the roadside.,low,v2_original
A local issue has developed where a chemical liquid has leaked onto a public road beside residential buildings at the main junction. People in the area have reported the same issue.,high,v2_original
Residents have noticed that smoke from a nearby workshop is entering nearby houses near our houses. People passing through the area are being affected.,medium,v2_original
dense smoke is causing breathing difficulty among nearby residents near the hospital. urgent intervention is required.,high,v3_targeted_augmentation
Residents have noticed that a water pipe is leaking continuously and a large amount of water is being wasted close to the playground. The condition becomes worse during busy periods.,medium,v2_original
A fallen power cable is lying across a pedestrian path near the community hall.,high,v2_original
People in the area are reporting that a roadside drain has some leaves and sediment inside it near the school. The condition has remained unchanged since yesterday.,low,v2_original
There is a problem where floodwater has entered houses and is continuing to rise near the public market. The condition has remained unchanged since yesterday.,high,v2_original
Residents have noticed that thick smoke is causing breathing difficulty among nearby residents near the public market.,high,v2_original
a fallen lamp post is blocking part of the road with electrical wires attached beside the public walkway. someone could be seriously injured if the area is not secured immediately. Please address this issue.,high,v3_targeted_augmentation
A local issue has developed where wastewater is overflowing from a drain onto the roadside in our neighbourhood. The issue is affecting normal use of the area.,medium,v2_original
Residents have reported that a street lamp flickers occasionally but remains usable near the junction. the issue is noticeable but not currently dangerous. Please address this issue.,low,v3_targeted_augmentation
People in the area are reporting that a fallen power cable is lying across a pedestrian path along the roadside.,high,v2_original
We have noticed that one street lamp is dim but still provides some light near our houses. Residents noticed the problem this morning.,low,v2_original
We are experiencing a situation where a drainage outlet is partially blocked and dirty water reaches the walkway close to the bus stop. multiple households have reported the same problem.,medium,v3_targeted_augmentation
We have noticed that water supply has been unavailable to a neighbourhood since yesterday near the town centre. People passing through the area are being affected.,medium,v2_original
"in the residential area, a roadside drain contains some leaves but water can still pass. there is no immediate safety risk. The relevant department should investigate the problem.",low,v3_targeted_augmentation
Residents have reported that water pressure is too low for many houses in the area outside the hospital. several residents are affected by the problem. Please inspect the issue.,medium,v3_targeted_augmentation
We have noticed that a water pipe is leaking continuously and a large amount of water is being wasted close to the bus stop. People passing through the area are being affected.,medium,v2_original
We have noticed that a shallow puddle forms after light rain near the public market. The condition becomes worse during busy periods.,low,v2_original
There is a problem where a shallow puddle forms after light rain near the school.,low,v2_original
There is a problem where water supply has been unavailable to a neighbourhood since yesterday close to the playground. The issue has been reported by households nearby.,medium,v2_original
"close to the local clinic, a live electrical wire is lying across a pedestrian path. residents may need emergency assistance. Please inspect the issue.",high,v3_targeted_augmentation
People living nearby have noticed that a small patch of road surface has become uneven near the community centre. normal access to the area is still possible. Please arrange an inspection.,low,v3_targeted_augmentation
We are experiencing a situation where a damaged power pole appears ready to fall onto passing vehicles near the railway station. urgent intervention is required. The relevant department should investigate the problem.,high,v3_targeted_augmentation
The community would like to report that a curb has a small chipped section at the village entrance. the service remains available despite the issue. We would appreciate assistance with this problem.,low,v3_targeted_augmentation
People in the area are reporting that sewage is flowing into several homes from an overflowing manhole at the main junction. The issue has been reported by households nearby.,high,v2_original
There is a problem where a sewer blockage is creating a strong smell across several nearby properties near our houses. People passing through the area are being affected.,medium,v2_original
We have noticed that several street lights along one road are not working close to the playground. The problem can be seen clearly from the roadside.,medium,v2_original
A local issue has developed where a sewer blockage is creating a strong smell across several nearby properties near the public market.,medium,v2_original
The situation involves a large public waste bin is overflowing onto the pavement near the town centre.,medium,v2_original
We have noticed that a water main failure has flooded the entrance to a hospital near our houses. People in the area have reported the same issue.,high,v2_original
Residents report that a high-voltage cable has fallen beside a public walkway beside the public road.,high,v3_targeted_augmentation
The community would like to report that part of a roadside retaining wall has collapsed onto the traffic lane in the residential area. residents are at risk of serious injury. Please take the necessary action.,high,v3_targeted_augmentation
People in the area are reporting that construction dust is affecting nearby shops and homes throughout the day close to the bus stop.,medium,v2_original
"along the main road, a water pipe is leaking continuously and wasting a large amount of water. the issue is disrupting normal use of the area.",medium,v3_targeted_augmentation
Residents have noticed that part of a roadside retaining wall has collapsed onto the traffic lane at the main junction. Residents noticed the problem this morning.,high,v2_original
A damaged electrical pole is leaning over a busy road at the main junction. The condition becomes worse during busy periods.,high,v2_original
We have noticed that a large section of road has collapsed beside a school entrance close to the bus stop. People in the area have reported the same issue.,high,v2_original
Residents have noticed that thick smoke is causing breathing difficulty among nearby residents near our houses. The issue is affecting normal use of the area.,high,v2_original
We are experiencing a situation where a public area has accumulated a large amount of uncollected rubbish beside the public walkway. several residents are affected by the problem. Residents are requesting assistance.,medium,v3_targeted_augmentation
People in the area are reporting that smoke from a nearby workshop is entering nearby houses close to the bus stop. The problem has continued despite recent rainfall.,medium,v2_original
sewage is flowing into homes from an overflowing manhole near the playground. the situation presents an immediate danger to the public. The relevant department should investigate the problem.,high,v3_targeted_augmentation
Garbage collection has been missed for several days and waste is accumulating on the main road.,medium,v2_original
People in the area are reporting that a large section of road has collapsed beside a school entrance near the town centre.,high,v2_original
The situation involves a large section of road has collapsed beside a school entrance on the main road. People in the area have reported the same issue.,high,v2_original
tap water has a slight unusual smell but remains available near the hospital. Please send the responsible team.,low,v3_targeted_augmentation
a water pipe is leaking continuously and wasting a large amount of water outside the hospital.,medium,v3_targeted_augmentation
A major water pipe has burst and water is entering nearby houses near the hospital. The problem can be seen clearly from the roadside.,high,v2_original
The community would like to report that a small patch of road surface has become uneven near the hospital. the issue is noticeable but not currently dangerous. The relevant department should investigate the problem.,low,v3_targeted_augmentation
We have noticed that a damaged electrical pole is leaning over a busy road near the community hall.,high,v2_original
There is a problem where a small amount of litter is scattered near a bus stop close to the playground.,low,v2_original
The situation involves a fallen power cable is lying across a pedestrian path at the main junction. The condition has remained unchanged since yesterday.,high,v2_original
There is a public complaint because a damaged power pole appears ready to fall onto passing vehicles outside the school. someone could be seriously injured if the area is not secured immediately. Please send the responsible team.,high,v3_targeted_augmentation
Residents have noticed that part of a roadside retaining wall has collapsed onto the traffic lane at the main junction. The problem can be seen clearly from the roadside.,high,v2_original
We have noticed that water supply has been unavailable to a neighbourhood since yesterday close to the bus stop. The issue has been reported by households nearby.,medium,v2_original
There is a public complaint because electrical wires are sparking beside a crowded public area outside our building. someone could be seriously injured if the area is not secured immediately. Please take the necessary action.,high,v3_targeted_augmentation
"outside the hospital, an overflowing public bin is spreading waste across the surrounding area.",medium,v3_targeted_augmentation
There is a problem where repeated electricity interruptions are affecting many houses close to the bus stop. The condition has remained unchanged since yesterday.,medium,v2_original
Residents have noticed that a single street sign area has minor surface damage near our houses. The condition becomes worse during busy periods.,low,v2_original
"beside the public walkway, one household is experiencing slightly reduced water pressure. the problem is limited to a small section. The relevant department should investigate the problem.",low,v3_targeted_augmentation
There is a problem where electrical wires are sparking beside a crowded pedestrian area near the public market. The problem has continued despite recent rainfall.,high,v2_original
Garbage collection has been missed for several days and waste is accumulating near the school. The condition has remained unchanged since yesterday.,medium,v2_original
The situation involves there is a small amount of dust near a construction site near the hospital. People in the area have reported the same issue.,low,v2_original
A large public waste bin is overflowing onto the pavement along the roadside. The issue has been reported by households nearby.,medium,v2_original
There is a problem where a drain cover is slightly loose but still in place near our houses.,low,v2_original
A local issue has developed where construction dust is affecting nearby shops and homes throughout the day in our neighbourhood. Residents noticed the problem this morning.,medium,v2_original
A local issue has developed where a curb has a small chipped section close to the playground.,low,v2_original
Tap water has a slight unusual smell but remains available in our neighbourhood.,low,v2_original
A local issue has developed where one street lamp is dim but still provides some light near the community hall. The issue has been reported by households nearby.,low,v2_original
The community would like to report that a fallen lamp post is blocking part of the road with electrical wires attached at the village entrance. the situation presents an immediate danger to the public.,high,v3_targeted_augmentation
Residents have noticed that an exposed electrical cable is hanging low where pedestrians can reach it on the main road. The issue is affecting normal use of the area.,high,v2_original
"in our neighbourhood, a shallow puddle forms after light rain. the issue is noticeable but not currently dangerous. The relevant department should investigate the problem.",low,v3_targeted_augmentation
garbage collection has been missed for several days and waste is accumulating near the public market. several residents are affected by the problem. Please send the responsible team.,medium,v3_targeted_augmentation
A local issue has developed where smoke from a nearby workshop is entering nearby houses near the school. The issue has been reported by households nearby.,medium,v2_original
A roadside drain has some leaves and sediment inside it in our neighbourhood. People passing through the area are being affected.,low,v2_original
We are experiencing a situation where residents are experiencing repeated power cuts during the evening at the village entrance. several residents are affected by the problem. Please arrange an inspection.,medium,v3_targeted_augmentation
The community would like to report that several street lights along the road are not working near the hospital. normal daily activities are being affected. Please send the responsible team.,medium,v3_targeted_augmentation
The situation involves an exposed electrical cable is hanging low where pedestrians can reach it near the hospital. The condition becomes worse during busy periods.,high,v2_original
There is a problem where an exposed electrical cable is hanging low where pedestrians can reach it close to the bus stop.,high,v2_original
"at the village entrance, floodwater is rising quickly around homes and residents cannot leave safely. public access to the area is unsafe.",high,v3_targeted_augmentation
There is a problem where one lamp flickers occasionally during the evening on the main road.,low,v2_original
The situation involves a large section of road has collapsed beside a school entrance near the town centre.,high,v2_original
We are experiencing a situation where dense smoke is causing breathing difficulty among nearby residents outside the hospital. residents may need emergency assistance. Please arrange an inspection.,high,v3_targeted_augmentation
A shallow puddle forms after light rain near the school.,low,v2_original
The situation involves a public bin is partly full but not overflowing at the main junction. Several nearby residents have raised concerns.,low,v2_original
We are experiencing a situation where a damaged power pole appears ready to fall onto passing vehicles beside the public road. the condition poses a direct risk to life and safety. The relevant department should investigate the problem.,high,v3_targeted_augmentation
We are experiencing a situation where wastewater is overflowing from a drain onto the roadside in our neighbourhood. the problem has continued for more than a day. Please inspect the issue.,medium,v3_targeted_augmentation
a group of street lamps is not functioning at night close to the local clinic.,medium,v3_targeted_augmentation
"in the residential area, a chemical liquid has spilled near houses and is producing strong fumes. the condition poses a direct risk to life and safety. We would appreciate assistance with this problem.",high,v3_targeted_augmentation
Water pressure is too low for many houses in the area along the roadside. The problem has continued despite recent rainfall.,medium,v2_original
A roadside drain is blocked and rainwater is collecting across part of the road along the roadside.,medium,v2_original
A local issue has developed where a curb has a small chipped section at the main junction. The problem has continued despite recent rainfall.,low,v2_original
A local issue has developed where a drain cover is slightly loose but still in place near the community hall. Several nearby residents have raised concerns.,low,v2_original
A local issue has developed where repeated electricity interruptions are affecting many houses near the school. People in the area have reported the same issue.,medium,v2_original
The situation involves sewage is flowing into several homes from an overflowing manhole close to the bus stop. Several nearby residents have raised concerns.,high,v2_original
The situation involves floodwater has entered houses and is continuing to rise at the main junction. The problem has continued despite recent rainfall.,high,v2_original
The situation involves a damaged electrical pole is leaning over a busy road close to the bus stop. The problem can be seen clearly from the roadside.,high,v2_original
People in the area are reporting that a water main failure has flooded the entrance to a hospital near the town centre.,high,v2_original
smoke from a nearby workshop is regularly entering nearby houses outside the school. the issue is disrupting normal use of the area. Please send the responsible team.,medium,v3_targeted_augmentation
People in the area are reporting that smoke from a nearby workshop is entering nearby houses close to the playground.,medium,v2_original
The community would like to report that a deep hole has opened across most of the traffic lane beside the public walkway. people are being exposed to a serious safety hazard. Please inspect the issue.,high,v3_targeted_augmentation
The community would like to report that the water pressure is slightly lower than normal in one house near the railway station. the issue is causing only a minor inconvenience. We would appreciate assistance with this problem.,low,v3_targeted_augmentation
a chemical liquid has spilled near houses and is producing strong fumes near our houses.,high,v3_targeted_augmentation
People in the area are reporting that a public bin is partly full but not overflowing in our neighbourhood.,low,v2_original
People living nearby have noticed that a fallen lamp post is blocking part of the road with electrical wires attached near the school. residents may need emergency assistance. We would appreciate assistance with this problem.,high,v3_targeted_augmentation
The situation involves a damaged electrical pole is leaning over a busy road near the town centre. The problem can be seen clearly from the roadside.,high,v2_original
Residents have noticed that thick smoke is causing breathing difficulty among nearby residents near the community hall. The issue is affecting normal use of the area.,high,v2_original
People in the area are reporting that thick smoke is causing breathing difficulty among nearby residents near the public market.,high,v2_original
There is a problem where repeated electricity interruptions are affecting many houses near the public market.,medium,v2_original
smoke from a nearby workshop is regularly entering nearby houses close to the local clinic. The relevant department should investigate the problem.,medium,v3_targeted_augmentation
We have noticed that a few garbage bags are waiting at the normal collection point near the community hall. The condition has remained unchanged since yesterday.,low,v2_original
A local issue has developed where a drain cover is slightly loose but still in place near the town centre. The problem has continued despite recent rainfall.,low,v2_original
Residents have reported that a roadside drain is blocked and rainwater is collecting across part of the road near the junction. normal daily activities are being affected. Please send the responsible team.,medium,v3_targeted_augmentation
residents are experiencing repeated power cuts during the evening in our neighbourhood. normal daily activities are being affected. Please send the responsible team.,medium,v3_targeted_augmentation
an electrical box is open and live components are exposed to pedestrians close to the bus stop. We would appreciate assistance with this problem.,high,v3_targeted_augmentation
The situation involves electrical wires are sparking beside a crowded pedestrian area close to the playground.,high,v2_original
Repeated electricity interruptions are affecting many houses near the hospital.,medium,v2_original
Thick smoke is causing breathing difficulty among nearby residents along the roadside. The problem can be seen clearly from the roadside.,high,v2_original
There is a public complaint because electrical wires are sparking beside a crowded public area along the main road. residents may need emergency assistance. Please take the necessary action.,high,v3_targeted_augmentation
The situation involves the road surface is damaged in several places and motorcycles are having difficulty passing near the school.,medium,v2_original
A local issue has developed where a roadside drain has some leaves and sediment inside it near our houses. The condition has remained unchanged since yesterday.,low,v2_original
Wastewater is overflowing from a drain onto the roadside along the roadside. Several nearby residents have raised concerns.,medium,v2_original
People in the area are reporting that a large section of road has collapsed beside a school entrance close to the bus stop. People in the area have reported the same issue.,high,v2_original
There is a problem where an exposed electrical cable is hanging low where pedestrians can reach it on the main road.,high,v2_original
A local issue has developed where a roadside drain has some leaves and sediment inside it near our houses.,low,v2_original
People in the area are reporting that an exposed electrical cable is hanging low where pedestrians can reach it along the roadside. The condition has remained unchanged since yesterday.,high,v2_original
People living nearby have noticed that a large tree has fallen onto electrical lines above the road beside the public road. residents may need emergency assistance.,high,v3_targeted_augmentation
floodwater has entered several houses and is continuing to rise in our neighbourhood. people are being exposed to a serious safety hazard. The relevant department should investigate the problem.,high,v3_targeted_augmentation
We are experiencing a situation where one street lamp is dim but still provides some light outside the hospital. normal access to the area is still possible. Residents are requesting assistance.,low,v3_targeted_augmentation
"close to the town centre, an exposed electrical cable is hanging where people can touch it. the area should be secured immediately. Please arrange an inspection.",high,v3_targeted_augmentation
A local issue has developed where one street lamp is dim but still provides some light near the hospital. People in the area have reported the same issue.,low,v2_original
Residents have noticed that thick smoke is causing breathing difficulty among nearby residents close to the bus stop. Residents noticed the problem this morning.,high,v2_original
We are experiencing a situation where a section of road has sunk and vehicles must drive around it beside the public walkway. multiple households have reported the same problem. We would appreciate assistance with this problem.,medium,v3_targeted_augmentation
People living nearby have noticed that a minor water leak is dripping slowly from a public pipe in our neighbourhood. the issue is noticeable but not currently dangerous. Please send the responsible team.,low,v3_targeted_augmentation
Water pressure is too low for many houses in the area near the public market. The condition becomes worse during busy periods.,medium,v2_original
People in the area are reporting that water supply has been unavailable to a neighbourhood since yesterday close to the playground. The issue is affecting normal use of the area.,medium,v2_original
We would like to report that a shallow puddle forms after light rain near the hospital.,low,v3_targeted_augmentation
There is a public complaint because a damaged electrical pole is leaning over a busy road near the school. public access to the area is unsafe. Please address this issue.,high,v3_targeted_augmentation
People in the area are reporting that a deep hole has opened across most of the traffic lane near a blind bend at the main junction. People passing through the area are being affected.,high,v2_original
We have noticed that a sewer blockage is creating a strong smell across several nearby properties near the community hall. The issue has been reported by households nearby.,medium,v2_original
"beside the public road, water pressure is too low for many houses in the area. the issue is causing significant inconvenience. The relevant department should investigate the problem.",medium,v3_targeted_augmentation
"along the main road, a street lamp flickers occasionally but remains usable. the service remains available despite the issue. We would appreciate assistance with this problem.",low,v3_targeted_augmentation
The community would like to report that smoke from a nearby workshop is regularly entering nearby houses at the village entrance. multiple households have reported the same problem. Please address this issue.,medium,v3_targeted_augmentation
The community would like to report that a small amount of rubbish has been left near a public bin close to the local clinic. the problem is limited to a small section. Please send the responsible team.,low,v3_targeted_augmentation
Residents have noticed that thick smoke is causing breathing difficulty among nearby residents near the school. The condition becomes worse during busy periods.,high,v2_original
People in the area are reporting that one lamp flickers occasionally during the evening near our houses. The issue is affecting normal use of the area.,low,v2_original
A drain cover is slightly loose but still in place in our neighbourhood.,low,v2_original
The situation involves a shallow puddle forms after light rain near the town centre. The condition becomes worse during busy periods.,low,v2_original
Residents report that a small crack has appeared along the edge of the road beside the public walkway.,low,v3_targeted_augmentation
Residents report that a shallow puddle forms after light rain outside our building.,low,v3_targeted_augmentation
People living nearby have noticed that part of a roadside retaining wall has collapsed onto the traffic lane beside the public walkway. residents may need emergency assistance. The relevant department should investigate the problem.,high,v3_targeted_augmentation
Residents have noticed that sewage is flowing into several homes from an overflowing manhole close to the bus stop. The issue has been reported by households nearby.,high,v2_original
a damaged electrical pole is leaning over a busy road in the residential area.,high,v3_targeted_augmentation
The community would like to report that a public waste container has a damaged lid but can still be used close to the town centre. there is no immediate safety risk. Residents are requesting assistance.,low,v3_targeted_augmentation
Residents have noticed that a section of road has sunk and vehicles must drive around it close to the playground. Several nearby residents have raised concerns.,medium,v2_original
There is a problem where a large section of road has collapsed beside a school entrance close to the bus stop. The issue is affecting normal use of the area.,high,v2_original
Sewage is flowing into several homes from an overflowing manhole close to the playground.,high,v2_original
There is a problem where a chemical liquid has leaked onto a public road beside residential buildings close to the playground.,high,v2_original
People living nearby have noticed that a drainage outlet is partially blocked and dirty water reaches the walkway near the school. the problem has continued for more than a day. Please arrange an inspection.,medium,v3_targeted_augmentation
People in the area are reporting that a shallow puddle forms after light rain on the main road. Several nearby residents have raised concerns.,low,v2_original
Residents have noticed that water supply has been unavailable to a neighbourhood since yesterday in our neighbourhood. The issue is affecting normal use of the area.,medium,v2_original
garbage collection has been missed for several days and waste is accumulating near our houses. the situation becomes worse during rainfall. We would appreciate assistance with this problem.,medium,v3_targeted_augmentation
We are experiencing a situation where multiple damaged sections of road are affecting normal traffic near the community centre. the issue is causing significant inconvenience. Please inspect the issue.,medium,v3_targeted_augmentation
People living nearby have noticed that a small amount of rubbish has been left near a public bin outside our building. the problem is limited to a small section. We would appreciate assistance with this problem.,low,v3_targeted_augmentation
Residents have reported that multiple damaged sections of road are affecting normal traffic near the community centre. the problem has continued for more than a day. Please arrange an inspection.,medium,v3_targeted_augmentation
A local issue has developed where a small amount of litter is scattered near a bus stop in our neighbourhood. Several nearby residents have raised concerns.,low,v2_original
We have noticed that a small patch of the road surface has become uneven close to the playground. Several nearby residents have raised concerns.,low,v2_original
